id, Label , Coord 0, Coord 1, Coord 2, Coord 3, "TimeStamp",  "X",  "Y",  "Z"
40, 40, 19, 5, 1, 4, 1.952500, 0.540625, 0.117185, 0.464062
41, 41, 19, 5, 4, 5, 1.973500, 0.525000, 0.491406, 0.500781
42, 42, 19, 5, 5, 5, 1.319333, 0.354427, 0.336458, 0.338021
43, 43, 19, 4, 4, 5, 1.308417, 0.329687, 0.328906, 0.335677
44, 44, 19, 4, 4, 4, 1.963500, 0.496875, 0.495312, 0.498437
45, 45, 19, 5, 5, 3, 1.979250, 0.576562, 0.553125, 0.375000
46, 46, 19, 5, 6, 4, 1.980500, 0.560940, 0.626565, 0.456250
47, 47, 20, 5, 5, 4, 0.011228, 0.002866, 0.002874, 0.002615
48, 48, 20, 5, 5, 5, 0.839521, 0.229883, 0.223568, 0.208789
49, 49, 20, 5, 4, 4, 0.430416, 0.113155, 0.104978, 0.099002
50, 50, 20, 6, 5, 4, 2.014500, 0.601565, 0.546875, 0.446875
51, 51, 20, 4, 3, 5, 2.016000, 0.492188, 0.370310, 0.564065
52, 52, 21, 5, 5, 4, 0.011338, 0.002730, 0.002795, 0.002545
53, 53, 21, 5, 5, 5, 0.612779, 0.149648, 0.153255, 0.144245
54, 54, 22, 5, 5, 4, 0.011556, 0.002693, 0.002685, 0.002387
55, 55, 23, 5, 5, 4, 0.012058, 0.002748, 0.002552, 0.002395
56, 56, 24, 5, 5, 4, 0.012561, 0.002748, 0.002568, 0.002403
57, 57, 25, 5, 5, 4, 0.013063, 0.002748, 0.002583, 0.002418
58, 58, 26, 5, 5, 4, 0.013566, 0.002748, 0.002607, 0.002442
59, 59, 27, 5, 5, 4, 0.014068, 0.002732, 0.002607, 0.002411
60, 60, 28, 5, 5, 4, 0.016501, 0.003116, 0.002857, 0.002759
61, 61, 28, 5, 4, 4, 0.126315, 0.023824, 0.021643, 0.020758
62, 62, 29, 5, 4, 4, 0.015073, 0.002740, 0.002450, 0.002387
63, 63, 30, 5, 4, 4, 0.015734, 0.002768, 0.002498, 0.002427
64, 64, 30, 5, 5, 4, 3.084250, 0.548438, 0.500000, 0.470313
65, 65, 31, 5, 4, 4, 0.019159, 0.003265, 0.002929, 0.002844
66, 66, 31, 5, 5, 4, 0.102255, 0.017610, 0.016148, 0.015438
67, 67, 32, 5, 4, 4, 0.047138, 0.007881, 0.006987, 0.006634
68, 68, 32, 5, 5, 4, 0.027047, 0.004610, 0.004176, 0.003818
69, 69, 32, 5, 5, 5, 0.699519, 0.119213, 0.109974, 0.107049
70, 70, 33, 5, 4, 4, 0.027417, 0.004436, 0.003932, 0.003894
71, 71, 33, 6, 4, 4, 3.301000, 0.600000, 0.495312, 0.465625
72, 72, 33, 5, 4, 5, 0.337862, 0.054863, 0.050229, 0.050736
73, 73, 33, 5, 5, 4, 0.057186, 0.009378, 0.008478, 0.008292
74, 74, 33, 5, 5, 5, 2.227417, 0.363021, 0.333333, 0.333854
75, 75, 34, 5, 4, 4, 0.025924, 0.003970, 0.003600, 0.003553
76, 76, 34, 5, 5, 4, 0.062458, 0.009966, 0.008959, 0.008569
77, 77, 34, 5, 4, 5, 1.433604, 0.230404, 0.206966, 0.214128
78, 78, 34, 5, 5, 5, 3.441750, 0.554690, 0.501563, 0.503906
79, 79, 34, 5, 8, 4, 3.470500, 0.548438, 0.893750, 0.468750
80, 80, 35, 5, 4, 4, 0.024655, 0.003778, 0.003403, 0.003328
81, 81, 35, 5, 5, 4, 0.068949, 0.010581, 0.009619, 0.009318
82, 82, 36, 5, 4, 4, 0.028028, 0.004155, 0.003776, 0.003693
83, 83, 36, 5, 5, 4, 0.072319, 0.010878, 0.009808, 0.009560
84, 84, 36, 5, 5, 5, 1.518396, 0.230208, 0.211133, 0.209505
85, 85, 36, 5, 4, 5, 0.413526, 0.062360, 0.055446, 0.056808
86, 86, 36, 5, 1, 4, 3.668500, 0.556250, 0.101560, 0.496875
87, 87, 37, 5, 5, 4, 0.055725, 0.008065, 0.007356, 0.006706
88, 88, 37, 5, 4, 4, 0.029229, 0.004195, 0.003762, 0.003738
89, 89, 38, 5, 4, 4, 0.027604, 0.003845, 0.003535, 0.003271
90, 90, 38, 5, 5, 4, 0.069656, 0.009741, 0.009015, 0.008653
91, 91, 38, 5, 1, 4, 3.883000, 0.546875, 0.100000, 0.484375
92, 92, 39, 5, 5, 4, 0.046483, 0.006306, 0.005815, 0.005578
93, 93, 39, 5, 4, 4, 0.038094, 0.005120, 0.004673, 0.004584
94, 94, 39, 5, 4, 5, 0.691203, 0.094346, 0.085018, 0.087259
95, 95, 40, 5, 4, 4, 0.040593, 0.005415, 0.004889, 0.004765
96, 96, 40, 5, 5, 4, 0.042784, 0.005708, 0.005264, 0.005115
97, 97, 40, 6, 5, 4, 4.053250, 0.603908, 0.519531, 0.474219
98, 98, 41, 5, 4, 4, 0.028569, 0.003752, 0.003306, 0.003327
99, 99, 41, 5, 5, 4, 0.087450, 0.011400, 0.010421, 0.009967
100, 100, 41, 5, 5, 3, 4.113000, 0.518750, 0.520312, 0.368750
101, 101, 41, 6, 4, 4, 4.116250, 0.602345, 0.490625, 0.471875
102, 102, 42, 5, 4, 4, 0.027042, 0.003449, 0.003105, 0.003027
103, 103, 42, 5, 4, 5, 0.626926, 0.081253, 0.073075, 0.073343
104, 104, 42, 5, 5, 4, 0.142764, 0.018354, 0.016688, 0.016218
105, 105, 42, 5, 5, 5, 4.274000, 0.551565, 0.500000, 0.501563
106, 106, 43, 5, 4, 4, 0.022109, 0.002756, 0.002497, 0.002442
107, 107, 44, 5, 4, 4, 0.052672, 0.006419, 0.005756, 0.005645
108, 108, 44, 5, 5, 4, 0.041666, 0.005064, 0.004746, 0.004485
109, 109, 44, 5, 5, 5, 1.864562, 0.223958, 0.209375, 0.213281
110, 110, 44, 5, 4, 5, 4.475000, 0.531250, 0.492188, 0.515625
111, 111, 45, 5, 5, 4, 0.093887, 0.011485, 0.010210, 0.009475
112, 112, 45, 5, 4, 4, 0.058231, 0.007003, 0.006153, 0.005855
113, 113, 45, 6, 5, 4, 4.504750, 0.609375, 0.524219, 0.449217
114, 114, 45, 5, 4, 5, 0.109420, 0.013289, 0.011648, 0.011952
115, 115, 45, 5, 5, 5, 0.199633, 0.023896, 0.021858, 0.021851
116, 116, 45, 5, 5, 3, 4.559500, 0.564065, 0.507812, 0.307810
117, 117, 46, 5, 4, 4, 0.034038, 0.003929, 0.003612, 0.003408
118, 118, 46, 5, 5, 4, 0.082473, 0.009679, 0.008941, 0.008330
119, 119, 46, 5, 4, 5, 4.640000, 0.560940, 0.467187, 0.503125
120, 120, 46, 5, 5, 5, 4.642250, 0.558595, 0.512500, 0.502344
121, 121, 47, 5, 5, 4, 0.396557, 0.046322, 0.041991, 0.041083
122, 122, 47, 5, 4, 4, 0.025804, 0.002949, 0.002629, 0.002604
123, 123, 48, 5, 4, 4, 0.025256, 0.002843, 0.002569, 0.002513
124, 124, 48, 5, 4, 5, 1.385146, 0.153451, 0.136549, 0.144831
125, 125, 49, 5, 4, 4, 0.027776, 0.003064, 0.002726, 0.002726
126, 126, 49, 5, 5, 4, 0.628496, 0.070273, 0.063730, 0.061712
127, 127, 49, 5, 4, 5, 0.555241, 0.063809, 0.054408, 0.058135
128, 128, 50, 5, 4, 4, 0.025626, 0.002772, 0.002473, 0.002450
129, 129, 51, 5, 4, 4, 0.030407, 0.003198, 0.002805, 0.002842
130, 130, 51, 5, 5, 4, 0.654296, 0.070685, 0.064297, 0.061774
131, 131, 51, 5, 4, 3, 5.123500, 0.539062, 0.470313, 0.371875
132, 132, 51, 5, 4, 5, 0.472345, 0.050041, 0.044721, 0.045883
133, 133, 51, 4, 4, 5, 3.419750, 0.326302, 0.298698, 0.338021
134, 134, 51, 4, 4, 4, 5.130500, 0.492188, 0.454688, 0.496875
135, 135, 51, 5, 5, 5, 5.132750, 0.563282, 0.517969, 0.507812
136, 136, 52, 5, 4, 4, 0.027318, 0.002827, 0.002513, 0.002513
137, 137, 52, 5, 5, 4, 3.481417, 0.369272, 0.333333, 0.321354
138, 138, 52, 5, 4, 5, 5.230250, 0.557033, 0.489844, 0.503906
139, 139, 53, 5, 4, 4, 0.027134, 0.002756, 0.002442, 0.002450
140, 140, 54, 5, 4, 4, 0.041983, 0.004270, 0.003769, 0.003757
141, 141, 54, 5, 5, 4, 0.189026, 0.018941, 0.017267, 0.015495
142, 142, 54, 5, 4, 5, 0.189734, 0.018719, 0.016673, 0.017263
143, 143, 54, 5, 5, 5, 1.168524, 0.115725, 0.107700, 0.108010
144, 144, 54, 6, 4, 4, 5.466500, 0.615625, 0.493750, 0.492188
145, 145, 54, 4, 4, 4, 5.467500, 0.498437, 0.460938, 0.481250
146, 146, 55, 5, 5, 4, 0.159705, 0.016126, 0.014429, 0.012953
147, 147, 55, 5, 4, 4, 0.045527, 0.004446, 0.003951, 0.004027
148, 148, 55, 6, 4, 4, 1.574304, 0.174089, 0.133867, 0.139023
149, 149, 55, 5, 4, 5, 0.254302, 0.024977, 0.022427, 0.022783
150, 150, 55, 5, 1, 4, 5.516500, 0.520312, 0.112500, 0.470313
151, 151, 55, 5, 5, 5, 1.193035, 0.117307, 0.107320, 0.108205
152, 152, 55, 6, 4, 5, 5.543750, 0.609375, 0.457031, 0.527344
153, 153, 55, 5, 4, 3, 5.524500, 0.551565, 0.498437, 0.378125
154, 154, 55, 5, 5, 3, 5.559000, 0.539062, 0.523438, 0.398435
155, 155, 55, 4, 4, 4, 5.565500, 0.490625, 0.434375, 0.460938
156, 156, 56, 5, 4, 4, 0.030809, 0.002973, 0.002618, 0.002677
157, 157, 56, 5, 5, 4, 0.438583, 0.042232, 0.038714, 0.038219
158, 158, 57, 5, 4, 4, 0.037657, 0.003511, 0.003125, 0.003185
159, 159, 57, 5, 5, 4, 0.174756, 0.016588, 0.015169, 0.014497
160, 160, 57, 5, 4, 5, 0.586262, 0.055421, 0.050274, 0.050583
161, 161, 58, 5, 4, 4, 0.029796, 0.002778, 0.002478, 0.002462
162, 162, 58, 5, 4, 5, 5.802500, 0.540625, 0.467187, 0.500000
163, 163, 59, 5, 4, 4, 0.030149, 0.002764, 0.002442, 0.002458
164, 164, 60, 5, 4, 4, 0.030652, 0.002693, 0.002348, 0.002379
165, 165, 61, 5, 4, 4, 0.031154, 0.002756, 0.002450, 0.002411
166, 166, 62, 5, 4, 4, 0.031657, 0.002756, 0.002465, 0.002434
167, 167, 63, 5, 4, 4, 0.032159, 0.002756, 0.002450, 0.002426
168, 168, 64, 5, 4, 4, 0.032662, 0.002748, 0.002450, 0.002434
169, 169, 65, 5, 4, 4, 0.035674, 0.002965, 0.002635, 0.002694
170, 170, 65, 5, 5, 4, 1.138949, 0.095742, 0.086717, 0.086161
171, 171, 65, 5, 4, 5, 1.868613, 0.155703, 0.138060, 0.141719
172, 172, 65, 5, 5, 5, 6.567750, 0.552345, 0.501563, 0.500781
173, 173, 66, 5, 4, 4, 0.056771, 0.004687, 0.004171, 0.003922
174, 174, 66, 5, 5, 4, 0.163486, 0.013831, 0.012244, 0.010859
175, 175, 66, 5, 4, 5, 0.239496, 0.019332, 0.017440, 0.018049
176, 176, 66, 5, 5, 5, 1.161043, 0.094775, 0.087036, 0.088375
177, 177, 66, 6, 4, 4, 6.676500, 0.612500, 0.459375, 0.498437
178, 178, 66, 6, 4, 5, 6.677000, 0.601565, 0.435935, 0.523438
179, 179, 66, 6, 5, 4, 6.699500, 0.601565, 0.535937, 0.403125
180, 180, 67, 5, 5, 4, 0.687110, 0.056287, 0.050579, 0.049330
181, 181, 67, 5, 4, 4, 0.038635, 0.003116, 0.002761, 0.002761
182, 182, 67, 5, 4, 5, 0.622951, 0.050609, 0.045567, 0.045882
183, 183, 68, 5, 4, 4, 0.053906, 0.004333, 0.003760, 0.003456
184, 184, 68, 5, 4, 5, 0.276201, 0.021406, 0.018969, 0.020041
185, 185, 68, 5, 5, 4, 0.196894, 0.015693, 0.015537, 0.011852
186, 186, 68, 5, 5, 5, 1.472203, 0.119727, 0.110412, 0.107003
187, 187, 68, 5, 1, 4, 6.853000, 0.570315, 0.129685, 0.450000
188, 188, 68, 6, 5, 4, 6.853750, 0.627345, 0.550782, 0.444530
189, 189, 69, 5, 4, 4, 0.035713, 0.002806, 0.002471, 0.002487
190, 190, 69, 5, 5, 4, 4.601083, 0.373699, 0.340625, 0.310677
191, 191, 70, 5, 4, 4, 0.051824, 0.003981, 0.003536, 0.003638
192, 192, 70, 5, 4, 5, 0.323384, 0.024848, 0.022205, 0.022848
193, 193, 70, 5, 5, 4, 0.221797, 0.017541, 0.016122, 0.012882
194, 194, 70, 6, 4, 4, 7.068000, 0.603125, 0.462500, 0.473438
195, 195, 70, 5, 5, 5, 4.722083, 0.368751, 0.343229, 0.333854
196, 196, 70, 6, 4, 5, 7.089500, 0.614065, 0.492188, 0.540625
197, 197, 70, 6, 5, 4, 7.090000, 0.607815, 0.514062, 0.479687
198, 198, 71, 5, 4, 4, 0.058052, 0.004485, 0.003969, 0.004007
199, 199, 71, 5, 5, 4, 0.156586, 0.012406, 0.011749, 0.010803
200, 200, 71, 5, 4, 5, 0.516931, 0.039160, 0.034359, 0.036576
201, 201, 71, 5, 5, 3, 7.130500, 0.535937, 0.540625, 0.359375
202, 202, 71, 6, 4, 4, 7.160750, 0.625783, 0.485938, 0.497656
203, 203, 71, 6, 5, 5, 7.161500, 0.650000, 0.525000, 0.501563
204, 204, 71, 6, 5, 4, 7.172750, 0.612500, 0.532813, 0.476562
205, 205, 71, 5, 5, 5, 4.788083, 0.379167, 0.370573, 0.335677
206, 206, 71, 5, 3, 5, 7.185000, 0.598440, 0.389060, 0.510938
207, 207, 71, 6, 4, 5, 7.185500, 0.629690, 0.442185, 0.539062
208, 208, 71, 4, 4, 5, 7.187500, 0.481250, 0.425000, 0.507812
209, 209, 71, 4, 4, 4, 7.188000, 0.496875, 0.454688, 0.496875
210, 210, 72, 5, 5, 4, 0.107347, 0.007929, 0.007378, 0.007171
211, 211, 72, 5, 5, 5, 0.522585, 0.041240, 0.040462, 0.036162
212, 212, 72, 5, 4, 5, 0.455821, 0.034283, 0.027195, 0.031545
213, 213, 72, 6, 4, 5, 3.013042, 0.274805, 0.190820, 0.224219
214, 214, 72, 6, 5, 5, 7.206500, 0.642190, 0.529687, 0.500000
215, 215, 72, 6, 5, 4, 7.207500, 0.649220, 0.528906, 0.465624
216, 216, 72, 7, 5, 4, 7.207500, 0.700000, 0.551565, 0.484375
217, 217, 72, 5, 4, 4, 0.104300, 0.007993, 0.007121, 0.007077
218, 218, 72, 5, 4, 3, 7.218250, 0.530469, 0.477344, 0.378123
219, 219, 72, 6, 4, 4, 1.557652, 0.133870, 0.095703, 0.102724
220, 220, 72, 5, 3, 5, 4.833750, 0.387762, 0.247656, 0.369272
221, 221, 72, 4, 3, 5, 7.222000, 0.460938, 0.368750, 0.503125
222, 222, 72, 4, 4, 5, 7.222500, 0.448435, 0.457813, 0.503125
223, 223, 72, 8, 4, 5, 7.241500, 0.803125, 0.453125, 0.576565
224, 224, 72, 7, 4, 5, 7.242000, 0.718750, 0.473438, 0.503125
225, 225, 72, 4, 5, 4, 7.243750, 0.482031, 0.528125, 0.435935
226, 226, 72, 5, 1, 4, 7.249000, 0.545312, 0.100000, 0.498437
227, 227, 72, 5, 6, 4, 7.257000, 0.553125, 0.604690, 0.473438
228, 228, 72, 5, 3, 4, 7.261500, 0.576565, 0.395310, 0.487500
229, 229, 73, 5, 4, 4, 0.077076, 0.005762, 0.005192, 0.005127
230, 230, 73, 5, 5, 4, 0.142352, 0.010552, 0.009620, 0.009439
231, 231, 73, 5, 5, 5, 0.620618, 0.046059, 0.042287, 0.042011
232, 232, 73, 5, 4, 5, 0.263723, 0.019560, 0.016904, 0.017947
233, 233, 73, 6, 5, 5, 7.311750, 0.627345, 0.511719, 0.521094
234, 234, 73, 6, 4, 5, 7.312750, 0.636720, 0.455469, 0.562502
235, 235, 73, 4, 4, 4, 7.315000, 0.467187, 0.476562, 0.476562
236, 236, 73, 6, 4, 4, 7.337500, 0.618750, 0.487500, 0.470313
237, 237, 73, 6, 5, 4, 7.338250, 0.625003, 0.535156, 0.443750
238, 238, 74, 5, 5, 4, 0.080649, 0.005881, 0.005662, 0.005310
239, 239, 74, 5, 4, 4, 0.122902, 0.008966, 0.008144, 0.008147
240, 240, 74, 6, 5, 4, 1.098439, 0.096081, 0.078783, 0.068322
241, 241, 74, 5, 4, 5, 0.417689, 0.030213, 0.026615, 0.027952
242, 242, 74, 6, 5, 5, 3.102438, 0.267774, 0.216667, 0.217448
243, 243, 74, 6, 4, 5, 4.979000, 0.422397, 0.298437, 0.350000
244, 244, 74, 6, 4, 4, 7.478500, 0.627345, 0.475781, 0.492188
245, 245, 74, 5, 3, 5, 7.470000, 0.517188, 0.384375, 0.573440
246, 246, 74, 4, 3, 5, 7.470500, 0.426560, 0.365625, 0.510938
247, 247, 74, 4, 4, 5, 7.471000, 0.431250, 0.453125, 0.503125
248, 248, 74, 5, 5, 5, 2.123000, 0.158946, 0.141849, 0.142292
249, 249, 75, 5, 5, 4, 0.260821, 0.019043, 0.017265, 0.016883
250, 250, 75, 6, 4, 5, 3.132104, 0.258854, 0.181379, 0.227669
251, 251, 75, 5, 4, 5, 0.958731, 0.068583, 0.062687, 0.065339
252, 252, 75, 4, 4, 5, 7.509250, 0.478125, 0.429688, 0.528906
253, 253, 75, 4, 4, 4, 7.510000, 0.493750, 0.450000, 0.496875
254, 254, 75, 5, 4, 4, 0.054675, 0.003991, 0.003586, 0.003519
255, 255, 75, 5, 5, 5, 1.305834, 0.092494, 0.087369, 0.086990
256, 256, 75, 5, 6, 3, 7.518000, 0.525000, 0.628125, 0.384375
257, 257, 75, 6, 4, 4, 5.018167, 0.411720, 0.313021, 0.323177
258, 258, 75, 6, 3, 4, 7.523000, 0.692190, 0.373435, 0.493750
259, 259, 75, 7, 3, 5, 7.523500, 0.710940, 0.331250, 0.528125
260, 260, 75, 4, 5, 4, 7.527000, 0.496875, 0.512500, 0.426560
261, 261, 76, 5, 5, 4, 0.128361, 0.009196, 0.008701, 0.008231
262, 262, 76, 5, 4, 4, 0.058299, 0.004096, 0.003776, 0.003658
263, 263, 76, 5, 4, 5, 2.177787, 0.153607, 0.137135, 0.141745
264, 264, 76, 5, 5, 5, 7.680500, 0.570315, 0.545312, 0.507812
265, 265, 77, 5, 5, 4, 0.176715, 0.012747, 0.011405, 0.010951
266, 266, 77, 5, 4, 4, 0.062903, 0.004423, 0.003919, 0.003957
267, 267, 77, 6, 5, 4, 7.728000, 0.614845, 0.502344, 0.496094
268, 268, 77, 6, 5, 5, 7.710500, 0.657815, 0.507812, 0.501563
269, 269, 77, 5, 4, 5, 0.601451, 0.042473, 0.038229, 0.038735
270, 270, 77, 4, 4, 5, 2.192662, 0.140378, 0.121367, 0.144583
271, 271, 77, 5, 5, 5, 2.198854, 0.156550, 0.142526, 0.142578
272, 272, 77, 6, 4, 5, 7.746750, 0.608595, 0.486719, 0.510938
273, 273, 77, 4, 4, 4, 7.750000, 0.467187, 0.450000, 0.479687
274, 274, 78, 5, 4, 4, 0.042245, 0.002941, 0.002615, 0.002640
275, 275, 78, 5, 5, 4, 1.005240, 0.070075, 0.063726, 0.062372
276, 276, 78, 5, 4, 5, 7.884250, 0.557033, 0.496094, 0.500000
277, 277, 78, 5, 5, 5, 7.888000, 0.550000, 0.500000, 0.500000
278, 278, 79, 5, 4, 4, 0.111125, 0.007858, 0.006854, 0.006903
279, 279, 79, 5, 5, 5, 0.732858, 0.049421, 0.046311, 0.046995
280, 280, 79, 5, 5, 4, 0.150715, 0.010441, 0.010241, 0.009015
281, 281, 79, 6, 4, 4, 2.256079, 0.175495, 0.139297, 0.137708
282, 282, 79, 5, 4, 5, 0.186126, 0.013160, 0.011234, 0.011817
283, 283, 79, 6, 5, 4, 5.286750, 0.413022, 0.380469, 0.323437
284, 284, 79, 5, 5, 3, 7.964000, 0.539062, 0.540625, 0.396875
285, 285, 79, 6, 4, 5, 7.969750, 0.621095, 0.437500, 0.525781
286, 286, 79, 4, 4, 4, 7.972750, 0.472656, 0.479687, 0.463281
287, 287, 79, 6, 5, 5, 5.322083, 0.416928, 0.382813, 0.341146
288, 288, 79, 6, 5, 3, 7.991000, 0.604690, 0.517188, 0.368750
289, 289, 80, 5, 5, 4, 0.144511, 0.009713, 0.009297, 0.008704
290, 290, 80, 5, 4, 4, 0.098753, 0.006857, 0.005755, 0.006078
291, 291, 80, 5, 5, 3, 8.044500, 0.541406, 0.533594, 0.392185
292, 292, 80, 6, 4, 4, 8.048750, 0.603908, 0.485156, 0.475781
293, 293, 80, 5, 4, 5, 0.238433, 0.016378, 0.014217, 0.014817
294, 294, 80, 6, 5, 4, 1.729844, 0.132928, 0.111089, 0.094735
295, 295, 80, 6, 5, 5, 8.061250, 0.656250, 0.573440, 0.504687
296, 296, 80, 5, 5, 5, 1.722816, 0.115328, 0.107227, 0.107010
297, 297, 80, 6, 4, 5, 8.083000, 0.608595, 0.438280, 0.516406
298, 298, 80, 4, 4, 4, 8.075500, 0.493750, 0.460938, 0.470313
299, 299, 80, 4, 4, 5, 8.080500, 0.498437, 0.471875, 0.507812
300, 300, 80, 6, 6, 4, 8.087250, 0.660157, 0.609378, 0.483594
301, 301, 80, 6, 5, 3, 8.091000, 0.607815, 0.501563, 0.398435
302, 302, 81, 5, 4, 5, 0.178282, 0.011806, 0.010228, 0.010875
303, 303, 81, 5, 4, 4, 0.110824, 0.006863, 0.006381, 0.006569
304, 304, 81, 5, 5, 4, 0.195125, 0.012916, 0.012548, 0.011825
305, 305, 81, 5, 5, 5, 0.828679, 0.053230, 0.050607, 0.053425
306, 306, 81, 5, 8, 4, 8.107000, 0.548438, 0.896875, 0.484375
307, 307, 81, 5, 5, 3, 8.145250, 0.541406, 0.534375, 0.373435
308, 308, 81, 6, 4, 4, 1.421086, 0.104345, 0.083422, 0.078007
309, 309, 81, 6, 4, 5, 5.441500, 0.412240, 0.283072, 0.357552
310, 310, 81, 4, 4, 4, 8.152500, 0.489844, 0.482812, 0.475000
311, 311, 81, 6, 5, 4, 2.318604, 0.187084, 0.165209, 0.134622
312, 312, 81, 6, 6, 5, 8.138500, 0.662500, 0.603125, 0.504687
313, 313, 81, 6, 5, 5, 8.139000, 0.639065, 0.587500, 0.507812
314, 314, 81, 4, 5, 4, 8.178000, 0.487500, 0.500000, 0.471875
315, 315, 81, 6, 5, 3, 8.195500, 0.621875, 0.512500, 0.375000
316, 316, 82, 5, 4, 4, 0.118588, 0.008358, 0.006795, 0.006779
317, 317, 82, 5, 4, 5, 0.148244, 0.010381, 0.008146, 0.009189
318, 318, 82, 5, 5, 5, 0.838835, 0.055111, 0.050623, 0.052144
319, 319, 82, 5, 5, 4, 0.212823, 0.013868, 0.013198, 0.012694
320, 320, 82, 6, 4, 4, 2.343729, 0.179180, 0.126523, 0.137552
321, 321, 82, 6, 3, 5, 8.252250, 0.616407, 0.390622, 0.525000
322, 322, 82, 4, 4, 4, 8.254750, 0.489062, 0.480469, 0.474219
323, 323, 82, 4, 5, 4, 8.255250, 0.497656, 0.507031, 0.483594
324, 324, 82, 6, 5, 4, 5.516500, 0.420833, 0.369272, 0.314323
325, 325, 82, 5, 4, 3, 8.243500, 0.540625, 0.403125, 0.389060
326, 326, 82, 6, 4, 5, 8.244750, 0.610940, 0.476562, 0.530470
327, 327, 82, 5, 5, 3, 8.273000, 0.543750, 0.534375, 0.371875
328, 328, 82, 6, 6, 4, 8.292000, 0.644532, 0.617188, 0.491406
329, 329, 82, 6, 6, 5, 8.292000, 0.685940, 0.656250, 0.509375
330, 330, 83, 5, 4, 4, 0.097583, 0.006248, 0.005705, 0.005040
331, 331, 83, 5, 4, 5, 0.175067, 0.011619, 0.008923, 0.010488
332, 332, 83, 5, 5, 5, 1.065592, 0.069903, 0.063731, 0.064720
333, 333, 83, 5, 5, 4, 0.300237, 0.019611, 0.018020, 0.017802
334, 334, 83, 5, 5, 3, 5.574667, 0.358854, 0.353646, 0.262238
335, 335, 83, 6, 4, 4, 3.487312, 0.258399, 0.185416, 0.197461
336, 336, 83, 6, 5, 4, 3.487146, 0.265886, 0.227214, 0.192708
337, 337, 83, 6, 3, 6, 8.329500, 0.632815, 0.376560, 0.607815
