cell-id,cell-label,number-points,CM-0,CM-1,cluster-label,qty-cells-cluster-greater-equal-3
88,88,1,0.076471,0.675439,40,4
89,89,1,0.082353,0.717544,20,36
90,90,3,0.120098,0.712865,20,36
91,91,1,0.104412,0.689474,20,36
92,92,4,0.151838,0.684649,20,36
93,93,2,0.111029,0.647368,40,4
94,94,2,0.083088,0.616667,40,4
98,98,1,0.152941,0.650877,20,36
106,106,1,0.166176,0.715789,20,36
107,107,1,0.175,0.747368,20,36
108,108,2,0.218382,0.745614,26,7
109,109,2,0.185294,0.721053,20,36
110,110,2,0.226471,0.715789,26,7
112,112,2,0.247794,0.722807,26,7
113,113,2,0.216176,0.679825,20,36
114,114,2,0.190441,0.682456,20,36
116,116,2,0.215441,0.651754,20,36
120,120,2,0.25,0.646491,20,36
124,124,1,0.247059,0.622807,20,36
138,138,3,0.920098,0.084795,68,18
141,141,2,0.852206,0.114035,68,18
146,146,2,0.784559,0.248246,75,18
150,150,1,0.876471,0.157895,68,18
151,151,3,0.877451,0.115205,68,18
152,152,2,0.913971,0.116667,68,18
153,153,2,0.901471,0.150877,68,18
154,154,1,0.938235,0.110526,68,18
159,159,2,0.906618,0.186842,68,18
164,164,2,0.816176,0.254386,75,18
165,165,3,0.814706,0.285965,75,18
166,166,1,0.785294,0.294737,75,18
169,169,3,0.927941,0.215789,68,18
171,171,2,0.953676,0.217544,68,18
172,172,1,0.973529,0.210526,68,18
174,174,3,0.979902,0.250877,68,18
175,175,1,0.955882,0.266667,68,18
177,177,2,0.954412,0.285088,68,18
180,180,2,0.851471,0.311404,75,18
182,182,1,0.811765,0.315789,75,18
183,183,3,0.813725,0.347368,75,18
184,184,3,0.822549,0.377193,75,18
185,185,2,0.847059,0.340351,75,18
186,186,2,0.876471,0.348246,75,18
187,187,2,0.857353,0.377193,75,18
188,188,1,0.851471,0.401754,75,18
189,189,3,0.883824,0.415205,75,18
190,190,2,0.886029,0.383333,75,18
191,191,2,0.926471,0.359649,68,18
192,192,2,0.921324,0.330702,68,18
193,193,2,0.946324,0.313158,68,18
195,195,2,0.955882,0.35614,68,18
197,197,1,0.913235,0.387719,75,18
198,198,1,0.913235,0.405263,75,18
199,199,2,0.888971,0.453509,75,18
202,202,2,0.254412,0.316667,96,111
204,204,3,0.244608,0.25731,96,111
205,205,1,0.260294,0.291228,96,111
206,206,2,0.288971,0.311404,96,111
208,208,2,0.318382,0.348246,96,111
209,209,2,0.342647,0.353509,96,111
212,212,2,0.377206,0.378947,96,111
213,213,1,0.402941,0.375439,96,111
214,214,2,0.379412,0.348246,96,111
215,215,4,0.355882,0.312719,96,111
216,216,2,0.321324,0.307018,96,111
217,217,3,0.292157,0.280117,96,111
220,220,2,0.247059,0.218421,96,111
221,221,2,0.286029,0.252632,96,111
222,222,3,0.253431,0.180702,96,111
223,223,2,0.286029,0.19386,96,111
224,224,2,0.282353,0.214035,96,111
225,225,3,0.316667,0.215205,96,111
226,226,4,0.320588,0.247368,96,111
227,227,1,0.332353,0.273684,96,111
228,228,3,0.357353,0.281287,96,111
229,229,2,0.391176,0.316667,96,111
230,230,2,0.416176,0.347368,96,111
231,231,1,0.360294,0.250877,96,111
232,232,3,0.382353,0.249708,96,111
234,234,2,0.327206,0.186842,96,111
235,235,4,0.282353,0.15,96,111
239,239,1,0.313235,0.154386,96,111
240,240,2,0.320588,0.127193,96,111
241,241,2,0.288971,0.122807,96,111
243,243,2,0.251471,0.078947,96,111
244,244,2,0.280147,0.088596,96,111
245,245,3,0.315686,0.088889,96,111
246,246,1,0.286765,0.052632,96,111
247,247,2,0.311029,0.047368,96,111
248,248,2,0.343382,0.114912,96,111
249,249,3,0.351471,0.148538,96,111
250,250,2,0.347794,0.186842,96,111
251,251,1,0.336765,0.031579,96,111
252,252,3,0.351471,0.054386,96,111
253,253,2,0.352206,0.080702,96,111
254,254,2,0.385294,0.021053,96,111
255,255,1,0.380882,0.045614,96,111
256,256,3,0.387745,0.084795,96,111
257,257,3,0.37598,0.115205,96,111
258,258,3,0.371569,0.184211,96,111
259,259,2,0.390441,0.144737,96,111
260,260,3,0.414706,0.118713,96,111
261,261,3,0.421078,0.089474,96,111
262,262,2,0.410294,0.05,96,111
265,265,3,0.451471,0.049123,96,111
266,266,3,0.457353,0.078947,96,111
267,267,3,0.483824,0.047368,96,111
268,268,2,0.483824,0.020175,96,111
269,269,2,0.5125,0.05614,96,111
270,270,1,0.483824,0.084211,96,111
271,271,3,0.458824,0.116959,96,111
272,272,2,0.483088,0.115789,96,111
273,273,3,0.45098,0.147953,96,111
274,274,2,0.422059,0.153509,96,111
275,275,3,0.418137,0.185965,96,111
276,276,1,0.375,0.219298,96,111
277,277,2,0.401471,0.216667,96,111
278,278,3,0.519118,0.08538,96,111
279,279,3,0.548039,0.049708,96,111
280,280,3,0.556863,0.083041,96,111
281,281,2,0.522059,0.120175,96,111
282,282,2,0.486765,0.148246,96,111
283,283,2,0.513971,0.147368,96,111
284,284,1,0.454412,0.178947,96,111
285,285,4,0.451103,0.214912,96,111
286,286,3,0.418627,0.249708,96,111
287,287,2,0.390441,0.286842,96,111
288,288,2,0.424265,0.289474,96,111
289,289,3,0.452451,0.284795,96,111
290,290,3,0.457353,0.250877,96,111
291,291,2,0.488235,0.212281,96,111
292,292,1,0.477941,0.178947,96,111
293,293,4,0.513603,0.184211,96,111
294,294,3,0.55098,0.153801,96,111
295,295,2,0.555882,0.123684,96,111
298,298,3,0.585784,0.116374,96,111
299,299,2,0.6125,0.115789,96,111
301,301,2,0.527206,0.22193,96,111
302,302,3,0.512745,0.247953,96,111
303,303,1,0.485294,0.250877,96,111
304,304,2,0.416176,0.319298,96,111
305,305,2,0.448529,0.319298,96,111
306,306,2,0.441912,0.350877,96,111
307,307,2,0.445588,0.377193,96,111
308,308,2,0.477941,0.345614,96,111
310,310,1,0.482353,0.285965,96,111
311,311,3,0.510294,0.287135,96,111
312,312,3,0.516667,0.310526,96,111
313,313,2,0.478676,0.376316,96,111
314,314,2,0.509559,0.346491,96,111
315,315,2,0.545588,0.347368,96,111
316,316,2,0.551471,0.311404,96,111
317,317,2,0.541912,0.275439,96,111
318,318,3,0.554902,0.246199,96,111
319,319,1,0.557353,0.212281,96,111
320,320,1,0.558824,0.184211,96,111
321,321,3,0.580392,0.183041,96,111
322,322,2,0.581618,0.214912,96,111
323,323,1,0.585294,0.24386,96,111
324,324,3,0.582353,0.279532,96,111
325,325,2,0.580147,0.314912,96,111
327,327,3,0.613725,0.253801,96,111
329,329,2,0.608088,0.214035,96,111
330,330,2,0.611765,0.182456,96,111
331,331,2,0.616176,0.146491,96,111
334,334,2,0.091912,0.023684,117,13
335,335,1,0.110294,0.02807,117,13
336,336,3,0.086275,0.051462,117,13
337,337,2,0.054412,0.057018,117,13
338,338,3,0.060784,0.085965,117,13
339,339,3,0.085294,0.084211,117,13
341,341,2,0.116912,0.051754,117,13
342,342,4,0.115809,0.080702,117,13
343,343,2,0.075735,0.110526,117,13
344,344,3,0.112255,0.119883,117,13
345,345,1,0.142647,0.105263,117,13
346,346,3,0.145588,0.084211,117,13
347,347,3,0.15049,0.056725,117,13
348,348,2,0.881618,0.487719,75,18
350,350,3,0.851961,0.550877,120,42
351,351,3,0.880882,0.553216,120,42
352,352,1,0.823529,0.561404,120,42
353,353,2,0.817647,0.57807,120,42
354,354,1,0.795588,0.607018,120,42
355,355,3,0.806863,0.619883,120,42
358,358,3,0.813235,0.653801,120,42
359,359,3,0.84902,0.646199,120,42
360,360,1,0.838235,0.598246,120,42
361,361,2,0.852941,0.608772,120,42
362,362,2,0.874265,0.584211,120,42
363,363,2,0.911029,0.55,120,42
364,364,2,0.913971,0.586842,120,42
365,365,3,0.883333,0.61345,120,42
366,366,1,0.876471,0.649123,120,42
367,367,2,0.850735,0.682456,120,42
368,368,2,0.839706,0.715789,120,42
369,369,1,0.813235,0.694737,120,42
370,370,2,0.786029,0.705263,120,42
371,371,2,0.814706,0.720175,120,42
372,372,2,0.8125,0.75,120,42
373,373,2,0.778676,0.749123,120,42
375,375,2,0.819118,0.792105,124,13
376,376,2,0.851471,0.778947,124,13
377,377,1,0.851471,0.759649,124,13
378,378,2,0.879412,0.724561,120,42
379,379,1,0.870588,0.738596,120,42
380,380,3,0.916176,0.715789,120,42
381,381,2,0.891176,0.685088,120,42
382,382,3,0.913725,0.650877,120,42
383,383,1,0.916176,0.624561,120,42
386,386,1,0.942647,0.649123,120,42
388,388,1,0.980882,0.670175,120,42
389,389,3,0.953431,0.683041,120,42
390,390,2,0.924265,0.682456,120,42
391,391,2,0.952206,0.715789,120,42
392,392,1,0.977941,0.717544,120,42
393,393,2,0.961029,0.757018,120,42
395,395,2,0.946324,0.782456,120,42
396,396,2,0.9125,0.757895,120,42
397,397,1,0.889706,0.766667,120,42
398,398,3,0.912745,0.788889,120,42
400,400,3,0.951961,0.853216,120,42
401,401,2,0.913235,0.820175,120,42
402,402,3,0.845588,0.814035,124,13
403,403,1,0.867647,0.814035,124,13
404,404,2,0.813235,0.812281,124,13
405,405,1,0.788235,0.817544,124,13
406,406,2,0.783824,0.851754,124,13
407,407,3,0.817647,0.854386,124,13
408,408,3,0.852941,0.891228,124,13
409,409,2,0.814706,0.895614,124,13
410,410,1,0.830882,0.924561,124,13
411,411,1,0.848529,0.921053,124,13
416,416,2,0.915441,0.853509,120,42
420,420,3,0.142647,0.41345,135,15
421,421,1,0.172059,0.415789,135,15
422,422,2,0.186765,0.382456,135,15
423,423,2,0.108824,0.414912,135,15
424,424,3,0.081373,0.387719,135,15
425,425,2,0.063971,0.355263,135,15
426,426,2,0.0875,0.35,135,15
427,427,2,0.118382,0.382456,135,15
428,428,2,0.153676,0.378947,135,15
429,429,3,0.143137,0.346784,135,15
430,430,2,0.117647,0.358772,135,15
431,431,5,0.112059,0.315088,135,15
432,432,1,0.085294,0.308772,135,15
433,433,1,0.170588,0.347368,135,15
434,434,1,0.155882,0.317544,135,15
