x,y,Class
0.311338,0.717611,5
0.454638,0.335698,3
0.113038,0.594396,-1
0.717722,0.628107,2
0.543896,0.559638,4
0.776773,0.753181,2
0.552084,0.761242,4
0.725990,0.188134,2
0.272299,0.454027,5
0.397642,0.156517,3
0.884160,0.409852,1
0.795986,0.556644,2
0.049107,0.440302,0
0.265819,0.210678,5
0.960672,0.761544,1
0.458872,0.517416,3
0.808948,0.621443,2
0.248227,0.699987,5
0.229878,0.280262,5
0.934599,0.695362,1
0.951857,0.191168,1
0.617538,0.663852,4
0.938391,0.676819,1
0.781755,0.660443,2
0.488221,0.442349,3
0.067400,0.570899,0
0.605696,0.481221,4
0.227093,0.076631,-1
0.629609,0.431879,4
0.059710,0.442295,0
0.524607,0.448450,-1
0.399019,0.646893,3
0.925126,0.741664,1
0.127354,0.318141,0
0.225802,0.665282,5
0.762353,0.180577,2
0.448433,0.705054,3
0.891117,0.511711,1
0.066583,0.801906,-1
0.347010,0.439550,-1
0.927148,0.754436,1
0.745889,0.667128,2
0.084455,0.789456,0
0.743611,0.443248,-1
0.442455,0.175658,3
0.246319,0.500322,5
0.758113,0.191302,2
0.600827,0.176517,4
0.056239,0.232268,0
0.899872,0.272564,1
0.117319,0.493463,0
0.763436,0.530819,2
0.956594,0.715698,1
0.420433,0.156268,3
0.088323,0.729221,0
0.901563,0.425094,1
0.430779,0.768517,3
0.475756,0.565356,3
0.907175,0.676127,1
0.717952,0.955617,-1
0.578333,0.254899,4
0.849749,0.011450,-1
0.267216,0.681919,5
0.048188,0.498490,0
0.434965,0.685523,3
0.957774,0.475255,1
0.784893,0.317208,2
0.781059,0.739866,2
0.594627,0.226195,4
0.635994,0.707678,4
0.216563,0.749034,5
0.099078,0.699463,0
0.142618,0.697906,0
0.616378,0.423054,4
0.390533,0.598369,3
0.328432,0.346718,-1
0.882172,0.173765,1
0.810229,0.525517,2
0.074783,0.649987,0
0.719938,0.291409,2
0.184192,0.152262,-1
0.292859,0.445591,5
0.454476,0.336664,3
0.422045,0.431020,-1
0.938166,0.259987,1
0.302421,0.158128,5
0.467239,0.541852,3
0.134314,0.252034,0
0.882487,0.382476,1
0.376020,0.530148,3
0.107834,0.676778,0
0.040160,0.432852,0
0.952158,0.770121,1
0.802675,0.430550,2
0.141431,0.289933,0
0.708750,0.299638,2
0.568456,0.439832,4
0.258558,0.471450,5
0.047614,0.792362,-1
0.937441,0.664899,1
0.372955,0.271436,3
0.732943,0.674698,2
0.217815,0.350785,5
0.585470,0.267403,4
0.092577,0.783812,0
0.588552,0.427248,4
0.724966,0.468725,2
0.551508,0.301302,4
0.216707,0.484597,5
0.543489,0.324470,4
0.368536,0.502517,3
0.562248,0.310758,4
0.100572,0.761503,0
0.238681,0.496013,5
0.819389,0.448107,-1
0.246751,0.220034,5
0.110373,0.674564,0
0.729089,0.686074,2
0.944084,0.783993,1
0.610808,0.694899,4
0.967514,0.740980,1
0.221817,0.153913,5
0.544899,0.455591,4
0.223273,0.464577,5
0.250134,0.594872,-1
0.935729,0.971382,-1
0.452768,0.228933,3
0.096484,0.224577,0
0.445466,0.622175,3
0.105544,0.487604,0
0.109494,0.177644,0
0.378705,0.628027,3
0.613447,0.669611,4
0.688823,0.933007,-1
0.868273,0.440725,-1
0.440672,0.601007,-1
0.749281,0.760913,2
0.625701,0.583148,4
0.118421,0.722913,0
0.769193,0.447617,2
0.539716,0.060128,-1
0.628410,0.266047,4
0.229351,0.733289,5
0.392515,0.299651,3
0.454790,0.416651,3
0.724737,0.489564,2
0.235570,0.681154,5
0.580261,0.196691,4
0.478626,0.152631,-1
0.582139,0.434034,4
0.945173,0.658356,1
0.545126,0.431201,4
0.167780,0.024503,-1
0.544587,0.766758,4
0.141607,0.337557,0
0.277244,0.608738,-1
0.891098,0.636725,1
0.623815,0.365557,4
0.288219,0.170993,5
0.389185,0.211564,3
0.972376,0.893396,-1
0.401176,0.254584,3
0.591884,0.792523,-1
0.248585,0.425456,5
0.572756,0.507181,4
0.801740,0.548175,2
0.598082,0.216523,4
0.835563,0.841121,-1
0.112082,0.493362,0
0.392028,0.608450,3
0.880857,0.205537,1
0.428814,0.455201,-1
0.646770,0.642591,-1
0.064268,0.620846,0
0.797965,0.749517,2
0.610802,0.490047,4
0.402294,0.183584,3
0.299790,0.761973,5
0.055868,0.397617,0
0.634912,0.275584,4
0.381344,0.238893,3
0.140795,0.521470,0
0.798305,0.208832,-1
0.710108,0.502275,2
0.252186,0.700691,5
0.184624,0.917597,-1
0.051268,0.468631,0
0.781567,0.684839,2
0.266975,0.149262,5
0.963461,0.217805,1
0.703980,0.357745,2
0.399815,0.675691,3
0.605731,0.241772,4
0.263935,0.487168,5
0.287594,0.500664,5
0.911548,0.209047,1
0.615668,0.321443,4
0.037814,0.315114,-1
0.429756,0.229215,3
0.723622,0.376389,2
0.451608,0.654483,3
0.453443,0.328275,3
0.284420,0.663698,5
0.480970,0.772960,-1
0.421073,0.742899,3
0.132720,0.659490,0
0.598347,0.431336,4
0.556886,0.660242,4
0.235511,0.515745,5
0.080579,0.446067,-1
0.276182,0.463329,5
0.927278,0.206470,1
0.326397,0.087980,-1
0.804579,0.585040,2
0.888270,0.701074,1
0.932514,0.481678,1
0.470183,0.442168,3
0.266212,0.688644,5
0.619822,0.366799,4
0.880128,0.162725,1
0.916276,0.745738,1
0.799572,0.670631,2
0.018665,0.910450,-1
0.962670,0.243087,1
0.253116,0.497819,5
0.455266,0.275275,3
0.791241,0.671315,2
0.087819,0.673416,0
0.506819,0.445651,-1
0.380075,0.631503,3
0.891755,0.705403,1
0.715049,0.300315,2
0.553127,0.613893,4
0.412456,0.764107,3
0.729029,0.219047,2
0.103521,0.492926,0
0.770283,0.221074,2
0.288077,0.155537,5
0.429447,0.289772,-1
0.222818,0.746349,5
0.955338,0.188671,1
0.718717,0.283081,2
0.217579,0.191913,5
0.264033,0.410329,5
0.659623,0.436409,-1
0.903815,0.666470,1
0.886261,0.685356,1
0.397019,0.285034,3
0.472284,0.589034,3
0.725285,0.549564,2
0.526648,0.444799,-1
0.800069,0.478826,2
0.061011,0.621819,0
0.462259,0.270309,3
0.616431,0.676933,4
0.954247,0.410289,1
0.529696,0.033477,-1
0.593726,0.431886,4
0.232430,0.670732,5
0.437254,0.141450,3
0.761506,0.191215,2
0.126889,0.517383,0
0.906268,0.423255,1
0.792353,0.256450,2
0.933763,0.705268,1
0.083491,0.708785,0
0.743358,0.185000,2
0.957521,0.424738,1
0.397220,0.715946,3
0.605830,0.177336,4
0.383437,0.473476,3
0.938214,0.431081,1
0.876413,0.800893,-1
0.217668,0.353530,5
0.712835,0.964007,-1
0.565005,0.206020,4
0.545525,0.492356,4
0.384476,0.604268,3
0.236148,0.252369,5
0.788241,0.274336,2
0.952464,0.400510,1
0.625726,0.399517,4
0.650589,0.228409,-1
0.261207,0.196168,5
0.914513,0.396537,1
0.956175,0.765450,1
0.181118,0.437174,-1
0.916965,0.244443,1
0.730470,0.637376,2
0.065670,0.553161,0
0.609050,0.929134,-1
0.838603,0.256309,-1
0.230362,0.634651,5
0.230199,0.352309,5
0.549065,0.410799,4
0.858930,0.435966,-1
0.237863,0.546403,5
0.547666,0.202201,4
0.607129,0.439510,4
0.229193,0.646134,5
0.940759,0.427007,1
0.422863,0.137705,3
0.930736,0.701007,1
0.731139,0.220591,2
0.705356,0.576564,2
0.906192,0.213718,1
0.450985,0.182141,3
0.078847,0.215175,0
0.956299,0.735711,1
0.061416,0.320087,0
0.622462,0.194570,4
0.404932,0.685107,3
0.585281,0.472651,4
0.230089,0.640315,5
0.585307,0.460960,4
0.432359,0.785067,3
0.889528,0.164268,1
0.770807,0.480423,2
0.265416,0.434450,5
0.607384,0.510537,4
0.259972,0.162134,5
0.713999,0.671752,2
0.223043,0.756886,5
0.455628,0.601168,3
0.761123,0.135899,2
0.131435,0.336497,0
0.559759,0.321034,4
0.109770,0.514711,0
0.236573,0.261081,5
0.760942,0.718906,2
0.107584,0.683302,0
0.625688,0.253181,4
0.925289,0.465664,1
0.139920,0.535315,0
0.237472,0.164537,5
0.782912,0.204483,2
0.455952,0.688416,3
0.552864,0.200631,4
0.226291,0.459906,5
0.406358,0.211933,3
0.463369,0.641644,3
0.783070,0.280114,2
0.712028,0.473973,2
0.728721,0.621832,2
0.446800,0.211832,3
0.939829,0.186101,1
0.065345,0.273631,0
0.628202,0.424396,4
0.546722,0.391671,4
0.938016,0.482691,1
0.433050,0.711940,3
0.888014,0.196242,1
0.258033,0.591638,-1
0.077025,0.444275,-1
0.751296,0.783181,2
0.145872,0.610161,0
0.076415,0.681255,0
0.267776,0.234832,5
0.359864,0.439020,-1
0.324837,0.430919,-1
0.619789,0.642705,4
0.940773,0.764705,1
0.071239,0.258047,0
0.786266,0.460698,2
0.703464,0.490544,2
0.908279,0.676711,1
0.831817,0.493966,-1
0.392320,0.311255,3
0.545796,0.627591,4
0.404080,0.712987,3
0.430680,0.675215,3
0.687475,0.289564,-1
0.292274,0.755638,5
0.465406,0.261490,3
0.117298,0.473195,0
0.238352,0.378812,5
0.049881,0.403966,0
0.281984,0.744154,5
0.893035,0.423416,1
0.110820,0.145664,0
0.234220,0.626295,5
0.226383,0.682584,5
0.404172,0.688154,3
0.882001,0.452168,1
0.374949,0.358732,3
0.754704,0.233980,2
0.452069,0.186638,3
0.797661,0.672181,2
0.258999,0.758960,5
0.533753,0.964846,-1
0.892756,0.556946,1
0.718389,0.433866,2
0.454413,0.674275,3
0.417653,0.362584,-1
0.061029,0.673060,0
0.254426,0.481624,5
0.138624,0.697772,0
0.740941,0.433161,-1
0.700427,0.843168,-1
0.884216,0.701302,1
0.781000,0.697396,2
0.900596,0.329201,1
0.635888,0.252953,4
0.766624,0.179490,2
0.945126,0.471799,1
0.537313,0.947664,-1
0.096980,0.707732,0
0.386020,0.228940,3
0.426857,0.785020,3
0.409544,0.762081,3
0.105955,0.515383,0
0.510700,0.259242,-1
0.766057,0.896899,-1
0.757687,0.747315,2
0.551508,0.312953,4
0.947219,0.248738,1
0.093839,0.154376,0
0.084670,0.010604,-1
0.788059,0.208054,2
0.106155,0.169154,0
0.795937,0.208960,2
0.551373,0.552148,4
0.787796,0.206389,2
0.391562,0.231826,3
0.416396,0.230134,3
0.407432,0.846289,-1
0.537647,0.163597,-1
0.605139,0.240188,4
0.892092,0.365678,1
0.440021,0.737054,3
0.571740,0.434161,4
0.784927,0.602497,2
0.139696,0.459027,0
0.612237,0.734161,4
0.137187,0.599154,0
0.548734,0.789893,-1
0.912686,0.691839,1
0.370539,0.131839,-1
0.772454,0.203523,2
0.752853,0.256201,-1
0.724015,0.362617,2
0.885892,0.273094,1
0.402553,0.462980,-1
0.888222,0.197356,1
0.532063,0.438456,-1
0.294054,0.178758,5
0.246979,0.723852,5
0.293510,0.398443,5
0.132529,0.574020,0
0.137866,0.708980,0
0.237455,0.615389,5
0.718889,0.649423,2
0.548749,0.754047,4
0.587118,0.232617,4
0.451656,0.349852,3
0.052810,0.374886,0
0.784141,0.661523,2
0.284324,0.496302,5
0.644970,0.469631,-1
0.472195,0.629094,3
0.569219,0.310940,4
0.677971,0.063248,-1
0.290415,0.220859,5
0.123697,0.509919,0
0.089945,0.142349,0
0.245465,0.604067,-1
0.900903,0.582443,1
0.115275,0.725691,0
0.046102,0.516409,0
0.910982,0.734644,1
0.367038,0.583779,3
0.561364,0.298268,4
0.912117,0.394826,1
0.579088,0.639597,-1
0.672239,0.654423,-1
0.049612,0.294785,0
0.498039,0.633107,-1
0.761339,0.495752,2
0.420964,0.208087,3
0.425872,0.214993,3
0.965519,0.258470,1
0.237025,0.166349,5
0.410303,0.759087,3
0.546327,0.582530,4
0.103957,0.520054,0
0.266799,0.418873,5
0.477446,0.455752,3
0.226969,0.494423,5
0.868668,0.435141,-1
0.911348,0.197336,1
0.126274,0.549624,0
0.895219,0.377839,1
0.083740,0.441282,-1
0.734361,0.620671,2
0.223842,0.398940,5
0.778590,0.472456,2
0.346093,0.310477,-1
0.639790,0.719201,4
0.927952,0.391584,1
0.437706,0.695127,3
0.435535,0.166228,3
0.110931,0.840926,-1
0.145903,0.642577,0
0.367982,0.450134,3
0.393979,0.634879,3
0.134867,0.576940,0
0.761322,0.699356,2
0.054976,0.587309,0
0.935871,0.764094,1
0.563467,0.531893,4
0.227709,0.276329,5
0.066529,0.285255,0
0.805263,0.256114,2
0.894509,0.196040,1
0.588982,0.517953,4
0.592541,0.192591,4
0.750829,0.750805,2
0.606155,0.494423,4
0.431266,0.737235,3
0.334778,0.441060,-1
0.088289,0.720544,0
0.275518,0.683007,5
0.775254,0.660295,2
0.433962,0.207201,3
0.771280,0.187725,2
0.234446,0.713524,5
0.884461,0.217879,1
0.127279,0.557336,0
0.643952,0.431456,-1
0.913284,0.482631,1
0.104386,0.178960,0
0.794960,0.654846,2
0.137097,0.630483,0
0.547715,0.551778,4
0.579088,0.202523,4
0.789760,0.312315,2
0.903538,0.163691,1
0.897547,0.221839,1
0.583785,0.511550,4
0.707307,0.312128,2
0.595348,0.967899,-1
0.621650,0.544758,4
0.601706,0.127698,-1
0.327398,0.873631,-1
0.219452,0.175591,5
0.700794,0.444121,2
0.400128,0.653315,3
0.231849,0.427658,5
0.129962,0.559812,0
0.281281,0.725141,5
0.130817,0.644329,0
0.902186,0.379503,1
0.235688,0.678899,5
0.284892,0.246993,5
0.142122,0.336060,0
0.176352,0.955161,-1
0.557337,0.643201,4
0.769485,0.146403,2
0.055838,0.276329,0
0.047103,0.283396,0
0.558530,0.462403,4
0.401148,0.688973,3
0.634337,0.581114,4
0.732754,0.289228,2
0.549147,0.188738,4
0.706927,0.411624,2
0.706974,0.468228,2
