cell-id,cell-label,number-points,CM-0,CM-1,qty-cells-cluster-greater-equal-3,gCluster-label, _#NO_CLASS#_
414,414,1,0.589799,0.373567,1,-1,-1
415,415,1,0.392596,0.179163,1,-1,-1
416,416,1,0.648014,0.082979,2,-1,-1
417,417,1,0.991944,0.062067,1,-1,-1
418,418,1,0.627792,0.370911,1,-1,-1
419,419,1,0.421708,0.305351,1,-1,-1
420,420,1,0.984633,0.161901,1,-1,-1
421,421,2,0.86401,0.115603,1,-1,-1
422,422,1,0.083665,0.181013,1,-1,-1
423,423,1,0.528471,0.066778,1,-1,-1
424,424,1,0.636029,0.102666,1,-1,-1
425,425,1,0.504903,0.426545,1,-1,-1
426,426,1,0.393508,0.262489,1,-1,-1
427,427,1,0.213827,0.400628,1,-1,-1
428,428,1,0.216695,0.220827,1,-1,-1
429,429,1,0.596006,0.057661,1,-1,-1
430,430,1,0.690706,0.113518,1,-1,-1
431,431,1,0.183708,0.417419,1,-1,-1
432,432,1,0.1013,0.230816,1,-1,-1
433,433,1,0.22353,0.179976,2,-1,-1
434,434,1,0.986567,0.47662,1,-1,-1
435,435,1,0.304835,0.40957,1,-1,-1
436,436,1,0.197311,0.151404,1,-1,-1
437,437,1,0.128361,0.322615,1,-1,-1
438,438,1,0.342198,0.362094,1,-1,-1
439,439,3,0.619211,0.146992,2,-1,-1
440,440,1,0.493005,0.102663,1,-1,-1
441,441,1,0.128979,0.061304,1,-1,-1
442,442,1,0.443257,0.193006,1,-1,-1
443,443,1,0.645066,0.139917,1,-1,-1
444,444,1,0.34095,0.374355,2,-1,-1
445,445,2,0.424593,0.389753,2,-1,-1
446,446,1,0.872418,0.285709,2,-1,-1
447,447,1,0.212562,0.389864,1,-1,-1
448,448,2,0.567325,0.081441,2,-1,-1
449,449,1,0.441851,0.315085,1,-1,-1
450,450,2,0.284069,0.054828,2,-1,-1
451,451,2,0.118609,0.287497,1,-1,-1
452,452,1,0.34462,0.109591,1,-1,-1
453,453,1,0.174187,0.113621,1,-1,-1
454,454,1,0.632875,0.312302,1,-1,-1
455,455,1,0.424291,0.2727,1,-1,-1
456,456,2,0.607276,0.084875,1,-1,-1
457,457,3,0.189669,0.192584,3,-1,-1
458,458,1,0.537877,0.276944,2,-1,-1
459,459,2,0.558788,0.124567,1,-1,-1
460,460,1,0.443639,0.312751,1,-1,-1
461,461,1,0.441851,0.0937,1,-1,-1
462,462,1,0.875339,0.117562,1,-1,-1
463,463,1,0.221367,0.052914,1,-1,-1
464,464,1,0.508863,0.194019,1,-1,-1
465,465,1,0.865957,0.01524,1,-1,-1
466,466,2,0.541796,0.198424,1,-1,-1
467,467,1,0.283324,0.269407,1,-1,-1
468,468,2,0.751632,0.232961,1,-1,-1
469,469,2,0.245282,0.393033,3,-1,-1
470,470,2,0.075648,0.116081,2,-1,-1
471,471,3,0.713351,0.378815,2,-1,-1
472,472,2,0.299069,0.247416,1,-1,-1
473,473,1,0.608361,0.186682,1,-1,-1
474,474,1,0.299657,0.294714,1,-1,-1
475,475,3,0.321351,0.167207,1,-1,-1
476,476,1,0.322286,0.218853,1,-1,-1
477,477,1,0.330594,0.091267,1,-1,-1
478,478,1,0.532056,0.369928,1,-1,-1
479,479,1,0.17969,0.204621,1,-1,-1
480,480,1,0.05116,0.208848,1,-1,-1
481,481,2,0.239229,0.064911,1,-1,-1
482,482,1,0.856276,0.165992,1,-1,-1
483,483,1,0.658506,0.409634,1,-1,-1
484,484,2,0.807569,0.18493,2,-1,-1
485,485,1,0.58326,0.384794,1,-1,-1
486,486,1,0.892593,0.121963,1,-1,-1
487,487,1,0.844572,0.251575,4,-1,-1
488,488,1,0.830011,0.286901,1,-1,-1
489,489,1,0.542498,0.1713,1,-1,-1
490,490,1,0.222966,0.33734,2,-1,-1
491,491,3,0.187584,0.290566,1,-1,-1
492,492,2,0.517438,0.090049,1,-1,-1
493,493,1,0.780232,0.062511,2,-1,-1
494,494,2,0.423683,0.370188,1,-1,-1
495,495,1,0.656489,0.414799,1,-1,-1
496,496,2,0.844119,0.309793,2,-1,-1
497,497,1,0.437994,0.398449,1,-1,-1
498,498,2,0.558725,0.401131,2,-1,-1
499,499,1,0.671783,0.373762,1,-1,-1
500,500,1,0.059428,0.265377,1,-1,-1
501,501,1,0.46793,0.097903,4,-1,-1
502,502,2,0.547855,0.129242,2,-1,-1
503,503,1,0.857823,0.367166,1,-1,-1
504,504,1,0.337121,0.259487,1,-1,-1
505,505,1,0.767936,0.20676,1,-1,-1
506,506,1,0.53799,0.050428,1,-1,-1
507,507,1,0.311107,0.239922,2,-1,-1
508,508,2,0.831056,0.144513,3,-1,-1
509,509,1,0.814502,0.125439,1,-1,-1
510,510,1,0.310348,0.186626,1,-1,-1
511,511,1,0.890714,0.334952,1,-1,-1
512,512,1,0.651419,0.081775,1,-1,-1
513,513,2,0.22095,0.217399,1,-1,-1
514,514,1,0.741989,0.339669,1,-1,-1
515,515,1,0.598471,0.172228,1,-1,-1
516,516,1,0.209762,0.287139,1,-1,-1
517,517,1,0.515399,0.215593,1,-1,-1
518,518,2,0.213618,0.101767,4,-1,-1
519,519,2,0.324014,0.130711,1,-1,-1
520,520,1,0.110546,0.282404,1,-1,-1
521,521,2,0.456488,0.098428,1,-1,-1
522,522,2,0.792588,0.192302,2,-1,-1
523,523,1,0.390335,0.387788,2,-1,-1
524,524,2,0.44054,0.250121,1,-1,-1
525,525,2,0.499259,0.177978,1,-1,-1
526,526,1,0.352976,0.091278,1,-1,-1
527,527,1,0.739219,0.321319,1,-1,-1
528,528,1,0.2268,0.101978,1,-1,-1
529,529,2,0.650199,0.209837,1,-1,-1
530,530,1,0.790987,0.126573,1,-1,-1
531,531,1,0.408067,0.068024,1,-1,-1
532,532,2,0.424712,0.287108,1,-1,-1
533,533,1,0.323288,0.386153,1,-1,-1
534,534,1,0.543462,0.391597,1,-1,-1
535,535,1,0.936756,0.239193,1,-1,-1
536,536,1,0.471024,0.08095,1,-1,-1
537,537,2,0.857731,0.32207,1,-1,-1
538,538,1,0.420307,0.29846,1,-1,-1
539,539,1,0.783757,0.169126,1,-1,-1
540,540,2,0.869962,0.31857,1,-1,-1
541,541,1,0.327029,0.264267,1,-1,-1
542,542,1,0.335294,0.301391,2,-1,-1
543,543,1,0.191419,0.185088,1,-1,-1
544,544,1,0.154407,0.055907,1,-1,-1
545,545,1,0.750181,0.355038,1,-1,-1
546,546,1,0.641573,0.410083,2,-1,-1
547,547,2,0.723981,0.235005,1,-1,-1
548,548,1,0.632324,0.272871,1,-1,-1
549,549,2,0.118688,0.260887,1,-1,-1
550,550,1,0.351524,0.088492,1,-1,-1
551,551,1,0.204669,0.351765,1,-1,-1
552,552,1,0.794497,0.130615,2,-1,-1
553,553,1,0.615979,0.107572,1,-1,-1
554,554,1,0.419605,0.36465,1,-1,-1
555,555,1,0.511415,0.43138,1,-1,-1
556,556,2,0.575694,0.108241,1,-1,-1
557,557,1,0.105864,0.111166,1,-1,-1
558,558,1,0.8032,0.262393,1,-1,-1
559,559,1,0.30845,0.089558,2,-1,-1
560,560,1,0.814011,0.248955,1,-1,-1
561,561,1,0.638363,0.0628,1,-1,-1
562,562,1,0.866637,0.14151,1,-1,-1
563,563,1,0.734136,0.069709,1,-1,-1
564,564,1,0.855327,0.312243,1,-1,-1
565,565,1,0.571401,0.413022,1,-1,-1
566,566,3,0.823908,0.100769,2,-1,-1
567,567,1,0.305474,0.371674,1,-1,-1
568,568,2,0.338479,0.209435,2,-1,-1
569,569,1,0.558367,0.136665,1,-1,-1
570,570,2,0.592749,0.159716,1,-1,-1
571,571,1,0.271812,0.410784,1,-1,-1
572,572,1,0.264126,0.114486,1,-1,-1
573,573,1,0.591214,0.140652,1,-1,-1
574,574,1,0.630203,0.047617,1,-1,-1
575,575,2,0.621483,0.318034,1,-1,-1
576,576,2,0.164452,0.109775,1,-1,-1
577,577,1,0.710208,0.440872,1,-1,-1
