Coord-0,Coord-1,class-label,gCluster-label,_#NO_CLASS#_
0.300013,0.134141,56,-1,-1
0.298513,0.297294,57,-1,-1
0.539601,0.308465,58,-1,-1
0.181701,0.32599,59,-1,-1
0.875123,0.218366,60,-1,-1
0.208452,0.25185,61,-1,-1
0.890115,0.36978,62,-1,-1
0.870669,0.346527,63,-1,-1
0.440102,0.160673,64,-1,-1
0.312289,0.065294,65,-1,-1
0.666866,0.408898,66,-1,-1
0.663374,0.432037,67,-1,-1
0.050644,0.199944,68,-1,-1
0.424657,0.226837,69,-1,-1
0.490821,0.098693,70,-1,-1
0.296439,0.232615,71,-1,-1
0.263588,0.35881,72,-1,-1
0.069532,0.29461,73,-1,-1
0.551235,0.424112,74,-1,-1
0.440193,0.416895,75,-1,-1
0.562369,0.04745,76,-1,-1
0.765289,0.196829,77,-1,-1
0.09626,0.160043,78,-1,-1
0.079722,0.274805,79,-1,-1
0.412535,0.214888,80,-1,-1
0.697157,0.419091,81,-1,-1
0.167176,0.05362,7,-1,-1
0.223358,0.22738,82,-1,-1
0.30777,0.214665,83,-1,-1
0.613428,0.169813,84,-1,-1
0.371013,0.352137,85,-1,-1
0.125096,0.160412,86,-1,-1
0.822807,0.094936,87,-1,-1
0.18516,0.191497,88,-1,-1
0.589289,0.049235,89,-1,-1
0.785995,0.268018,90,-1,-1
0.077454,0.12097,91,-1,-1
0.451252,0.096751,92,-1,-1
0.858856,0.221356,93,-1,-1
0.312296,0.347275,94,-1,-1
0.360313,0.362741,95,-1,-1
0.840545,0.069109,96,-1,-1
0.253487,0.41243,97,-1,-1
0.441722,0.281232,98,-1,-1
0.483906,0.058711,99,-1,-1
0.133374,0.07181,100,-1,-1
0.227431,0.393665,101,-1,-1
0.529487,0.223259,102,-1,-1
0.399371,0.157516,103,-1,-1
0.335684,0.097586,104,-1,-1
0.342121,0.244617,105,-1,-1
0.795951,0.04816,106,-1,-1
0.209393,0.356813,107,-1,-1
0.382912,0.357027,108,-1,-1
0.300168,0.062463,109,-1,-1
0.865832,0.139109,110,-1,-1
0.700508,0.407963,111,-1,-1
0.570343,0.390529,112,-1,-1
0.708596,0.181655,113,-1,-1
0.775538,0.210578,114,-1,-1
0.096097,0.230762,115,-1,-1
0.502417,0.364859,116,-1,-1
0.323019,0.113631,117,-1,-1
0.791904,0.217232,118,-1,-1
0.295954,0.401907,119,-1,-1
0.315286,0.090791,120,-1,-1
0.527986,0.047851,121,-1,-1
0.803674,0.413449,122,-1,-1
0.106765,0.160696,123,-1,-1
0.786923,0.240471,124,-1,-1
0.573717,0.270524,125,-1,-1
0.521291,0.214733,126,-1,-1
0.640204,0.170331,127,-1,-1
0.623989,0.278216,128,-1,-1
0.982053,0.268674,129,-1,-1
0.598796,0.298845,130,-1,-1
0.360212,0.099502,131,-1,-1
0.575808,0.421024,132,-1,-1
0.626617,0.077546,133,-1,-1
0.304152,0.358465,134,-1,-1
0.437343,0.151903,135,-1,-1
0.574077,0.298701,136,-1,-1
0.114514,0.155738,137,-1,-1
0.836736,0.297524,138,-1,-1
0.584094,0.302843,139,-1,-1
0.516088,0.39976,140,-1,-1
0.204641,0.255986,141,-1,-1
0.947304,0.130304,142,-1,-1
0.558414,0.165692,143,-1,-1
0.622888,0.055375,144,-1,-1
0.548235,0.215288,145,-1,-1
0.443264,0.417931,146,-1,-1
0.651901,0.052621,147,-1,-1
0.410944,0.374583,148,-1,-1
0.861428,0.322125,149,-1,-1
0.666974,0.400211,150,-1,-1
0.844875,0.322962,151,-1,-1
0.20488,0.054835,152,-1,-1
0.280134,0.285479,153,-1,-1
0.331968,0.12942,154,-1,-1
0.338299,0.268396,155,-1,-1
0.218556,0.039827,156,-1,-1
0.301645,0.072794,157,-1,-1
0.784639,0.10238,158,-1,-1
0.572101,0.064748,159,-1,-1
0.621364,0.221222,160,-1,-1
0.40231,0.228123,161,-1,-1
0.117291,0.173981,162,-1,-1
0.654292,0.461856,163,-1,-1
0.778938,0.269431,164,-1,-1
0.419102,0.08515,165,-1,-1
0.415773,0.181979,166,-1,-1
0.280938,0.2883,167,-1,-1
0.619486,0.143957,168,-1,-1
0.303565,0.070511,169,-1,-1
0.329026,0.417768,170,-1,-1
0.322565,0.152034,171,-1,-1
0.847502,0.222409,172,-1,-1
0.848778,0.31203,173,-1,-1
0.421067,0.166527,174,-1,-1
0.327315,0.377347,175,-1,-1
0.338748,0.170422,176,-1,-1
0.855783,0.265179,177,-1,-1
0.296981,0.418751,178,-1,-1
0.089994,0.30735,179,-1,-1
0.075086,0.138826,180,-1,-1
0.171661,0.099553,181,-1,-1
0.879711,0.299687,182,-1,-1
0.439788,0.336291,183,-1,-1
0.30816,0.211339,184,-1,-1
0.036382,0.089481,185,-1,-1
0.770414,0.233885,186,-1,-1
0.803498,0.089955,187,187,-1
0.520423,0.398034,188,-1,-1
0.338529,0.103965,189,-1,-1
0.552992,0.31508,190,-1,-1
0.562749,0.071011,191,-1,-1
0.656407,0.195872,192,-1,-1
0.853633,0.209941,193,-1,-1
0.59715,0.159351,194,-1,-1
0.699443,0.413891,195,-1,-1
0.429778,0.054543,196,-1,-1
0.623684,0.389112,197,-1,-1
0.620564,0.330246,198,-1,-1
0.204863,0.347013,199,-1,-1
0.210832,0.340355,200,-1,-1
0.431641,0.40045,201,-1,-1
0.517275,0.388728,202,-1,-1
0.146059,0.059812,203,-1,-1
0.848601,0.337142,204,-1,-1
0.310527,0.097974,205,-1,-1
0.529032,0.30331,206,-1,-1
0.415163,0.329056,207,-1,-1
0.439855,0.255185,208,-1,-1
0.879187,0.120978,209,-1,-1
0.636914,0.163062,210,-1,-1
0.411698,0.189152,211,-1,-1
0.650931,0.315495,212,-1,-1
0.400216,0.405783,213,-1,-1
0.75953,0.237811,214,-1,-1
0.121233,0.318267,215,-1,-1
0.845781,0.435966,216,-1,-1
0.334538,0.086562,217,-1,-1
0.605339,0.193952,218,-1,-1
0.086741,0.27745,219,-1,-1
0.760077,0.241839,220,-1,-1
0.089316,0.212904,221,-1,-1
0.601764,0.05401,222,-1,-1
0.437671,0.322898,223,-1,-1
0.200685,0.185278,224,-1,-1
0.212903,0.14754,225,-1,-1
0.842551,0.181131,226,-1,-1
0.617334,0.175291,227,-1,-1
0.326267,0.22573,228,-1,-1
0.301088,0.092968,229,-1,-1
0.246054,0.394994,230,230,-1
0.966653,0.088808,231,-1,-1
0.675256,0.410289,232,-1,-1
0.22462,0.322607,233,-1,-1
0.106749,0.320497,234,-1,-1
0.570693,0.251661,235,-1,-1
0.656324,0.265495,236,-1,-1
0.126214,0.132642,237,-1,-1
0.280196,0.396655,238,-1,-1
0.81435,0.227481,239,-1,-1
0.586695,0.08762,240,-1,-1
0.387575,0.373666,241,-1,-1
0.216968,0.413803,242,-1,-1
0.271134,0.394494,243,-1,-1
0.507725,0.167668,244,-1,-1
0.655989,0.289216,245,245,-1
0.330481,0.229417,246,-1,-1
0.433572,0.417383,247,-1,-1
0.408391,0.240042,248,-1,-1
0.443476,0.377248,249,-1,-1
0.63945,0.416077,250,-1,-1
0.836788,0.054137,251,-1,-1
0.71277,0.062423,252,-1,-1
0.863797,0.253625,253,-1,-1
0.671027,0.457048,254,-1,-1
0.779351,0.06197,255,-1,-1
0.340613,0.230658,256,-1,-1
0.574666,0.238077,257,-1,-1
0.438781,0.021032,258,-1,-1
0.425056,0.359835,259,-1,-1
0.420466,0.206719,260,-1,-1
0.653203,0.323212,261,-1,-1
0.410623,0.174701,262,-1,-1
0.961819,0.266561,263,-1,-1
0.392728,0.19949,264,-1,-1
0.39993,0.367735,265,-1,-1
0.801204,0.180823,266,-1,-1
0.111816,0.055067,267,-1,-1
0.839404,0.127982,268,-1,-1
0.207141,0.175922,269,-1,-1
0.639027,0.306067,270,-1,-1
0.88154,0.205551,271,-1,-1
0.197256,0.403486,272,-1,-1
0.244594,0.41473,273,-1,-1
0.819607,0.22231,274,-1,-1
0.87765,0.15834,275,-1,-1
0.235559,0.107379,276,-1,-1
0.567851,0.285468,277,-1,-1
0.615289,0.254617,278,-1,-1
0.298623,0.055486,279,-1,-1
0.836919,0.354939,280,-1,-1
0.28345,0.096749,281,-1,-1
0.769923,0.21454,282,-1,-1
0.094324,0.08931,283,-1,-1
0.117712,0.300318,284,-1,-1
0.119687,0.109404,285,-1,-1
0.228837,0.178134,286,-1,-1
0.480982,0.083442,287,-1,-1
0.869885,0.064615,288,-1,-1
0.331927,0.403558,289,-1,-1
0.625946,0.331502,290,-1,-1
0.371757,0.358171,291,-1,-1
0.911343,0.290909,292,-1,-1
0.867284,0.066121,293,-1,-1
0.80573,0.265498,294,-1,-1
0.337406,0.207575,295,-1,-1
0.543813,0.363722,296,-1,-1
0.788484,0.103542,297,-1,-1
0.540262,0.270153,298,-1,-1
0.757788,0.074998,299,-1,-1
0.848209,0.22281,172,-1,-1
0.962356,0.092032,300,-1,-1
0.343597,0.173228,301,-1,-1
0.772097,0.239826,302,-1,-1
0.191329,0.405128,303,-1,-1
0.517217,0.200596,304,-1,-1
0.722626,0.400224,305,-1,-1
0.147433,0.151666,306,-1,-1
0.56874,0.072171,307,-1,-1
0.845976,0.17508,308,-1,-1
0.641243,0.049669,309,-1,-1
0.298855,0.308489,310,-1,-1
0.592123,0.297161,311,-1,-1
0.593452,0.198952,312,-1,-1
0.829276,0.172942,313,-1,-1
0.318855,0.317315,314,-1,-1
0.088482,0.070778,315,-1,-1
0.494867,0.099382,316,-1,-1
0.39149,0.418022,317,-1,-1
0.450978,0.09208,318,318,-1
0.406716,0.36947,319,-1,-1
0.589073,0.425893,320,-1,-1
0.583495,0.303024,321,-1,-1
0.123591,0.095061,322,-1,-1
0.085211,0.23778,323,-1,-1
0.710543,0.185952,324,-1,-1
0.52719,0.167302,325,-1,-1
0.553339,0.315995,190,-1,-1
0.416652,0.228315,326,-1,-1
0.822588,0.088137,327,-1,-1
0.653652,0.373406,328,-1,-1
0.898086,0.156468,329,-1,-1
0.25881,0.401604,330,-1,-1
0.526813,0.186129,331,-1,-1
0.163129,0.08885,332,-1,-1
0.49965,0.086305,333,-1,-1
0.532609,0.337061,334,-1,-1
0.832089,0.318489,335,-1,-1
0.285294,0.261516,336,-1,-1
0.224524,0.110288,337,-1,-1
0.222585,0.256492,338,-1,-1
0.232757,0.403575,339,-1,-1
0.844351,0.246738,340,339,-1
0.293788,0.275645,341,-1,-1
0.645641,0.183169,342,-1,-1
0.222831,0.424107,343,-1,-1
0.599749,0.204843,344,-1,-1
0.122137,0.21512,345,-1,-1
0.577455,0.052682,346,-1,-1
0.217347,0.368514,347,-1,-1
0.400725,0.321995,348,-1,-1
0.210867,0.233008,349,-1,-1
0.624986,0.089102,350,-1,-1
0.713029,0.084946,351,-1,-1
0.724256,0.266689,352,-1,-1
0.621562,0.153869,353,-1,-1
0.797692,0.166855,354,-1,-1
0.657489,0.0753,355,-1,-1
0.205843,0.055893,356,-1,-1
0.038161,0.09124,357,-1,-1
0.431984,0.383812,358,-1,-1
0.767048,0.079367,359,-1,-1
0.148618,0.433543,360,-1,-1
0.343089,0.088703,361,-1,-1
0.715367,0.41569,362,-1,-1
0.597252,0.415428,363,-1,-1
0.19328,0.316722,364,-1,-1
0.331134,0.131775,365,-1,-1
0.095299,0.081621,366,-1,-1
0.927168,0.318938,367,-1,-1
0.190858,0.336481,368,-1,-1
0.804067,0.450275,369,-1,-1
0.086072,0.386877,370,-1,-1
0.785848,0.071235,371,-1,-1
0.843605,0.272732,372,-1,-1
0.334252,0.487757,373,-1,-1
0.825075,0.052141,374,-1,-1
0.317917,0.183589,375,-1,-1
0.305653,0.227867,376,-1,-1
0.350744,0.357093,377,-1,-1
0.63357,0.390121,378,-1,-1
0.222831,0.26528,379,-1,-1
0.203947,0.099634,380,-1,-1
0.81558,0.242591,381,-1,-1
0.723984,0.399463,382,-1,-1
0.214089,0.240142,383,-1,-1
0.869645,0.107912,384,-1,-1
0.617241,0.328626,385,-1,-1
0.537797,0.200513,386,-1,-1
0.817858,0.10899,387,-1,-1
0.322596,0.261198,388,-1,-1
0.435585,0.353466,389,-1,-1
0.425567,0.321212,390,-1,-1
0.334265,0.394577,391,-1,-1
0.168241,0.052027,7,-1,-1
0.442351,0.413077,392,-1,-1
0.581786,0.392364,393,-1,-1
0.198813,0.053786,394,-1,-1
0.622374,0.049005,395,-1,-1
0.52857,0.186681,331,-1,-1
0.692538,0.391526,396,-1,-1
0.312043,0.129906,397,-1,-1
0.864155,0.324762,398,-1,-1
0.209757,0.113722,399,-1,-1
0.094219,0.110639,400,-1,-1
0.604243,0.25073,401,-1,-1
0.10543,0.275847,402,-1,-1
0.185573,0.338917,403,-1,-1
0.215973,0.39803,404,-1,-1
0.327666,0.268508,405,-1,-1
0.30712,0.378647,406,-1,-1
0.570802,0.312126,407,-1,-1
0.880233,0.176232,408,-1,-1
0.26338,0.097308,409,406,-1
0.44692,0.302181,410,-1,-1
0.410372,0.235337,411,-1,-1
0.1057,0.288946,412,-1,-1
0.303695,0.222257,413,-1,-1
0.589799,0.373567,414,-1,-1
0.392596,0.179163,415,-1,-1
0.648014,0.082979,416,-1,-1
0.991944,0.062067,417,-1,-1
0.666917,0.400145,150,-1,-1
0.627792,0.370911,418,-1,-1
0.421708,0.305351,419,-1,-1
0.984633,0.161901,420,-1,-1
0.863974,0.114514,421,-1,-1
0.083665,0.181013,422,-1,-1
0.528471,0.066778,423,-1,-1
0.636029,0.102666,424,-1,-1
0.504903,0.426545,425,-1,-1
0.393508,0.262489,426,-1,-1
0.213827,0.400628,427,-1,-1
0.216695,0.220827,428,-1,-1
0.596006,0.057661,429,-1,-1
0.690706,0.113518,430,-1,-1
0.183708,0.417419,431,-1,-1
0.1013,0.230816,432,-1,-1
0.22353,0.179976,433,-1,-1
0.986567,0.47662,434,-1,-1
0.304835,0.40957,435,-1,-1
0.197311,0.151404,436,-1,-1
0.128361,0.322615,437,-1,-1
0.342198,0.362094,438,-1,-1
0.619228,0.14653,439,-1,-1
0.493005,0.102663,440,-1,-1
0.128979,0.061304,441,-1,-1
0.443257,0.193006,442,-1,-1
0.645066,0.139917,443,-1,-1
0.34095,0.374355,444,-1,-1
0.425673,0.388926,445,-1,-1
0.872418,0.285709,446,-1,-1
0.212562,0.389864,447,-1,-1
0.568516,0.081447,448,-1,-1
0.441851,0.315085,449,-1,-1
0.284558,0.054625,450,-1,-1
0.11922,0.287064,451,-1,-1
0.34462,0.109591,452,-1,-1
0.174187,0.113621,453,-1,-1
0.632875,0.312302,454,-1,-1
0.424291,0.2727,455,-1,-1
0.607323,0.084492,456,-1,-1
0.190661,0.191562,457,454,-1
0.537877,0.276944,458,-1,-1
0.213935,0.24234,383,-1,-1
0.557907,0.124946,459,-1,-1
0.443639,0.312751,460,-1,-1
0.441851,0.0937,461,-1,-1
0.875339,0.117562,462,-1,-1
0.221367,0.052914,463,-1,-1
0.508863,0.194019,464,-1,-1
0.865957,0.01524,465,-1,-1
0.541153,0.199073,466,-1,-1
0.283324,0.269407,467,-1,-1
0.751687,0.233701,468,-1,-1
0.245449,0.3928,469,230,-1
0.076091,0.115083,470,-1,-1
0.713863,0.37968,471,-1,-1
0.298466,0.247808,472,-1,-1
0.608361,0.186682,473,-1,-1
0.299657,0.294714,474,-1,-1
0.321214,0.166075,475,-1,-1
0.322286,0.218853,476,-1,-1
0.330594,0.091267,477,-1,-1
0.532056,0.369928,478,-1,-1
0.17969,0.204621,479,-1,-1
0.05116,0.208848,480,-1,-1
0.239824,0.065203,481,-1,-1
0.856276,0.165992,482,-1,-1
0.658506,0.409634,483,-1,-1
0.807558,0.184974,484,-1,-1
0.58326,0.384794,485,-1,-1
0.892593,0.121963,486,-1,-1
0.844572,0.251575,487,339,-1
0.830011,0.286901,488,-1,-1
0.542498,0.1713,489,-1,-1
0.222966,0.33734,490,-1,-1
0.188208,0.291395,491,-1,-1
0.517666,0.090537,492,-1,-1
0.780232,0.062511,493,-1,-1
0.423465,0.369692,494,-1,-1
0.656489,0.414799,495,-1,-1
0.843278,0.30974,496,-1,-1
0.437994,0.398449,497,-1,-1
0.558829,0.401447,498,-1,-1
0.671783,0.373762,499,-1,-1
0.059428,0.265377,500,-1,-1
0.46793,0.097903,501,495,-1
0.548203,0.129435,502,-1,-1
0.857823,0.367166,503,-1,-1
0.337121,0.259487,504,-1,-1
0.767936,0.20676,505,-1,-1
0.53799,0.050428,506,-1,-1
0.311107,0.239922,507,-1,-1
0.830687,0.144254,508,502,-1
0.814502,0.125439,509,-1,-1
0.310348,0.186626,510,-1,-1
0.890714,0.334952,511,-1,-1
0.651419,0.081775,512,-1,-1
0.2217,0.217348,513,-1,-1
0.741989,0.339669,514,-1,-1
0.598471,0.172228,515,-1,-1
0.209762,0.287139,516,-1,-1
0.515399,0.215593,517,-1,-1
0.213781,0.100883,518,512,-1
0.324895,0.131016,519,-1,-1
0.110546,0.282404,520,-1,-1
0.456903,0.098492,521,-1,-1
0.792152,0.192372,522,-1,-1
0.390335,0.387788,523,-1,-1
0.440866,0.251048,524,-1,-1
0.498532,0.177613,525,-1,-1
0.352976,0.091278,526,-1,-1
0.739219,0.321319,527,-1,-1
0.402751,0.407412,213,-1,-1
0.2268,0.101978,528,-1,-1
0.650074,0.210043,529,-1,-1
0.790987,0.126573,530,-1,-1
0.408067,0.068024,531,-1,-1
0.425391,0.288264,532,-1,-1
0.323288,0.386153,533,-1,-1
0.543462,0.391597,534,-1,-1
0.936756,0.239193,535,-1,-1
0.471024,0.08095,536,-1,-1
0.857783,0.321903,537,-1,-1
0.420307,0.29846,538,-1,-1
0.783757,0.169126,539,-1,-1
0.869027,0.318604,540,-1,-1
0.327029,0.264267,541,-1,-1
0.424032,0.285952,532,-1,-1
0.335294,0.301391,542,-1,-1
0.191419,0.185088,543,-1,-1
0.154407,0.055907,544,-1,-1
0.750181,0.355038,545,-1,-1
0.641573,0.410083,546,-1,-1
0.723925,0.234482,547,-1,-1
0.632324,0.272871,548,-1,-1
0.119658,0.261238,549,-1,-1
0.351524,0.088492,550,-1,-1
0.204669,0.351765,551,-1,-1
0.794497,0.130615,552,-1,-1
0.615979,0.107572,553,-1,-1
0.419605,0.36465,554,-1,-1
0.511415,0.43138,555,-1,-1
0.576067,0.108021,556,-1,-1
0.105864,0.111166,557,-1,-1
0.8032,0.262393,558,-1,-1
0.30845,0.089558,559,-1,-1
0.814011,0.248955,560,-1,-1
0.638363,0.0628,561,-1,-1
0.866637,0.14151,562,-1,-1
0.734136,0.069709,563,-1,-1
0.855327,0.312243,564,-1,-1
0.571401,0.413022,565,-1,-1
0.823901,0.100196,566,-1,-1
0.305474,0.371674,567,-1,-1
0.338995,0.209399,568,-1,-1
0.558367,0.136665,569,-1,-1
0.591864,0.159856,570,-1,-1
0.271812,0.410784,571,-1,-1
0.264126,0.114486,572,-1,-1
0.591214,0.140652,573,-1,-1
0.630203,0.047617,574,-1,-1
0.620211,0.318018,575,-1,-1
0.555466,0.365396,22,-1,-1
0.164498,0.109228,576,-1,-1
0.710208,0.440872,577,-1,-1
0.882096,0.354511,578,-1,-1
0.31784,0.155264,579,-1,-1
0.811272,0.168209,580,-1,-1
0.293561,0.225145,581,-1,-1
0.447455,0.387176,582,-1,-1
0.628811,0.086208,583,-1,-1
0.325056,0.282099,584,-1,-1
0.205152,0.248107,585,-1,-1
0.318875,0.208538,586,579,-1
0.427585,0.080188,587,580,-1
0.483954,0.063387,588,-1,-1
0.955113,0.128034,589,-1,-1
0.800353,0.305815,590,-1,-1
0.875024,0.273396,591,-1,-1
0.44108,0.169097,592,-1,-1
0.214155,0.219329,593,-1,-1
0.35924,0.379479,594,-1,-1
0.276735,0.378601,595,-1,-1
0.651021,0.306821,596,-1,-1
0.776096,0.269166,597,-1,-1
0.510059,0.08528,598,-1,-1
0.609398,0.413283,599,-1,-1
0.106981,0.323816,600,-1,-1
0.657034,0.381695,601,-1,-1
0.648267,0.391757,602,-1,-1
0.294554,0.172767,603,-1,-1
0.852765,0.293094,604,-1,-1
0.549658,0.072078,605,-1,-1
0.652756,0.150236,606,-1,-1
0.108665,0.128273,607,-1,-1
0.606636,0.227316,608,-1,-1
0.594909,0.309554,609,-1,-1
0.506351,0.372212,610,-1,-1
0.817088,0.462995,611,-1,-1
0.316173,0.450671,612,-1,-1
0.732903,0.081776,613,-1,-1
0.857104,0.388059,614,-1,-1
0.115468,0.08374,615,-1,-1
0.748733,0.416355,616,-1,-1
0.492864,0.081516,617,-1,-1
0.112455,0.296275,618,-1,-1
0.493848,0.017722,619,-1,-1
0.189331,0.295476,620,-1,-1
0.806839,0.284548,621,-1,-1
0.302062,0.26245,622,-1,-1
0.39938,0.373735,623,-1,-1
0.525144,0.425607,624,-1,-1
0.437142,0.088861,625,-1,-1
0.542248,0.152214,626,-1,-1
0.79828,0.244227,627,-1,-1
0.255529,0.110899,628,-1,-1
0.093401,0.159599,629,621,-1
0.690494,0.175019,630,-1,-1
0.613791,0.192879,631,-1,-1
0.230965,0.365155,632,-1,-1
0.765292,0.183997,633,-1,-1
0.769313,0.190395,634,-1,-1
0.089658,0.128427,635,-1,-1
0.336879,0.161257,636,-1,-1
0.559784,0.074989,637,-1,-1
0.763249,0.060725,638,-1,-1
0.339942,0.158818,639,-1,-1
0.152583,0.427564,640,-1,-1
0.870609,0.205832,641,-1,-1
0.102276,0.277526,642,-1,-1
0.301958,0.418064,643,-1,-1
0.541883,0.426577,644,-1,-1
0.29342,0.370356,645,-1,-1
0.863003,0.081625,646,638,-1
0.07973,0.072278,647,-1,-1
0.073907,0.084492,648,-1,-1
0.435075,0.38619,649,-1,-1
0.705613,0.389414,650,-1,-1
0.414923,0.147807,651,-1,-1
0.322559,0.29739,652,-1,-1
0.305275,0.322626,653,-1,-1
0.668088,0.418109,654,-1,-1
0.802409,0.086478,655,-1,-1
0.856716,0.332289,656,-1,-1
0.755131,0.091395,657,-1,-1
0.344927,0.230029,658,-1,-1
0.764935,0.093799,659,651,-1
0.444714,0.367676,660,-1,-1
0.497292,0.426289,661,-1,-1
0.323561,0.201633,662,-1,-1
0.645674,0.322042,663,-1,-1
0.298401,0.299014,57,-1,-1
0.432315,0.303978,664,-1,-1
0.407109,0.369181,319,-1,-1
0.329404,0.171227,665,-1,-1
0.255289,0.186081,666,-1,-1
0.804463,0.131754,667,-1,-1
0.394832,0.288871,668,-1,-1
0.075086,0.104498,669,-1,-1
0.091644,0.303291,670,-1,-1
0.640553,0.486185,671,-1,-1
0.532054,0.411896,672,-1,-1
0.089265,0.321992,673,-1,-1
0.216701,0.354508,674,-1,-1
0.400476,0.347783,675,-1,-1
0.776955,0.091594,676,-1,-1
0.539422,0.078201,677,-1,-1
0.896596,0.126807,678,-1,-1
0.393275,0.202305,679,-1,-1
0.940441,0.095703,680,-1,-1
0.843703,0.05295,681,-1,-1
0.118848,0.317002,682,-1,-1
0.329538,0.314227,683,-1,-1
0.550974,0.217118,684,-1,-1
0.076941,0.246637,685,-1,-1
0.098308,0.243925,686,-1,-1
0.218607,0.178572,687,-1,-1
0.148831,0.090765,688,-1,-1
0.516628,0.406281,689,-1,-1
0.080922,0.065181,690,-1,-1
0.10104,0.298476,691,-1,-1
0.612644,0.228669,692,-1,-1
0.636938,0.197732,693,-1,-1
0.769874,0.10811,694,-1,-1
0.841529,0.150872,695,-1,-1
0.258387,0.114936,696,-1,-1
0.848744,0.148125,697,-1,-1
0.309692,0.366067,698,-1,-1
0.336657,0.174529,699,-1,-1
0.612487,0.069248,700,-1,-1
0.800115,0.273372,701,-1,-1
0.710855,0.397653,702,-1,-1
0.529599,0.13705,703,-1,-1
0.089139,0.072406,704,-1,-1
0.040641,0.118292,705,-1,-1
0.110786,0.261522,706,-1,-1
0.10365,0.262192,707,-1,-1
0.76319,0.228334,708,699,-1
0.180641,0.083147,709,-1,-1
0.504249,0.422687,710,-1,-1
0.88797,0.36939,711,-1,-1
0.293359,0.201211,712,-1,-1
0.299463,0.053965,713,-1,-1
0.15112,0.076401,714,-1,-1
0.228422,0.175994,715,-1,-1
0.235994,0.275543,716,-1,-1
0.144011,0.08895,717,-1,-1
0.006393,0.450917,718,-1,-1
0.291008,0.406807,719,-1,-1
0.180872,0.184401,720,-1,-1
0.643427,0.071446,721,-1,-1
0.805372,0.089946,187,187,-1
0.406029,0.104077,722,-1,-1
0.800089,0.301931,723,-1,-1
0.53561,0.085581,724,-1,-1
0.211923,0.177583,725,-1,-1
0.614968,0.274927,726,-1,-1
0.566107,0.09581,727,-1,-1
0.585225,0.412013,728,-1,-1
0.141008,0.056746,729,-1,-1
0.097743,0.173776,730,-1,-1
0.533867,0.36096,731,-1,-1
0.527522,0.133645,732,-1,-1
0.833665,0.049473,733,-1,-1
0.437169,0.295102,734,-1,-1
0.81565,0.136479,735,-1,-1
0.917181,0.230196,736,-1,-1
0.887486,0.34843,737,-1,-1
0.404189,0.320235,738,-1,-1
0.871503,0.337361,739,-1,-1
0.421709,0.325201,740,-1,-1
0.622075,0.412912,741,732,-1
0.299581,0.276045,742,-1,-1
0.074537,0.068556,743,-1,-1
0.222387,0.240994,744,-1,-1
0.64789,0.153244,745,-1,-1
0.310296,0.099256,205,-1,-1
0.630775,0.286449,746,-1,-1
0.783152,0.265406,747,738,-1
0.63311,0.375535,748,-1,-1
0.213786,0.206409,749,-1,-1
0.520474,0.22704,750,-1,-1
0.551075,0.091791,751,-1,-1
0.759018,0.242343,752,-1,-1
0.836304,0.31445,753,-1,-1
0.60299,0.404427,754,-1,-1
0.114684,0.095797,755,-1,-1
0.15061,0.107581,756,-1,-1
0.598288,0.161243,757,-1,-1
0.187629,0.060374,758,-1,-1
0.616085,0.195962,759,-1,-1
0.295717,0.151575,760,749,-1
