X,Y
0.668919,0.510526
0.679730,0.492105
0.693243,0.481579
0.706757,0.476316
0.724324,0.468421
0.739189,0.484211
0.737838,0.518421
0.731081,0.544737
0.727027,0.576316
0.712162,0.581579
0.702703,0.605263
0.687838,0.610526
0.674324,0.592105
0.662162,0.571053
0.668919,0.547368
0.679730,0.568421
0.690541,0.584211
0.700000,0.563158
0.690541,0.547368
0.677027,0.536842
0.689189,0.515789
0.702703,0.539474
0.716216,0.557895
0.718919,0.528947
0.700000,0.510526
0.710811,0.500000
0.724324,0.500000
0.059459,0.913158
0.105405,0.913158
0.147297,0.910526
0.187838,0.897368
0.206757,0.805263
0.166216,0.831579
0.124324,0.839474
0.087838,0.855263
0.059459,0.831579
0.028378,0.871053
0.004054,0.784211
0.041892,0.789474
0.040541,0.747368
0.009459,0.700000
0.033784,0.613158
0.052703,0.684211
0.070270,0.728947
0.071622,0.776316
0.086486,0.802632
0.105405,0.805263
0.139189,0.789474
0.114865,0.776316
0.102703,0.768421
0.091892,0.765789
0.098649,0.755263
0.089189,0.744737
0.106757,0.742105
0.097297,0.728947
0.082432,0.689474
0.090541,0.626316
0.082432,0.573684
0.112162,0.689474
0.137838,0.723684
0.167568,0.747368
0.121622,0.636842
0.152703,0.665789
0.201351,0.702632
0.186486,0.615789
0.151351,0.568421
0.241892,0.828947
0.268919,0.873684
0.294595,0.892105
0.324324,0.931579
0.363514,0.934211
0.327027,0.878947
0.362162,0.863158
0.404054,0.889474
0.314865,0.826316
0.290541,0.818421
0.271622,0.781579
0.236486,0.760526
0.236486,0.697368
0.252703,0.626316
0.275676,0.573684
0.294595,0.631579
0.278378,0.671053
0.270270,0.731579
0.291892,0.718421
0.293243,0.763158
0.310811,0.784211
0.327027,0.786842
0.339189,0.818421
0.354054,0.784211
0.339189,0.752632
0.322973,0.752632
0.312162,0.747368
0.309459,0.728947
0.320270,0.731579
0.329730,0.726316
0.317568,0.713158
0.305405,0.689474
0.327027,0.673684
0.324324,0.618421
0.317568,0.552632
0.341892,0.694737
0.354054,0.734211
0.385135,0.810526
0.390541,0.736842
0.375676,0.678947
0.358108,0.642105
0.354054,0.547368
0.389189,0.576316
0.410811,0.639474
0.118919,0.397368
0.136486,0.407895
0.154054,0.421053
0.171622,0.423684
0.194595,0.418421
0.217568,0.418421
0.232432,0.418421
0.245946,0.426316
0.241892,0.400000
0.227027,0.392105
0.206757,0.389474
0.185135,0.389474
0.166216,0.378947
0.152703,0.389474
0.132432,0.373684
0.135135,0.342105
0.152703,0.350000
0.172973,0.350000
0.191892,0.352632
0.205405,0.357895
0.221622,0.365789
0.217568,0.344737
0.201351,0.326316
0.187838,0.310526
0.163514,0.321053
0.177027,0.297368
0.147297,0.310526
0.167568,0.276316
0.114865,0.321053
0.114865,0.360526
0.100000,0.381579
0.082432,0.360526
0.097297,0.347368
0.074324,0.334211
0.091892,0.310526
0.074324,0.294737
0.074324,0.252632
0.090541,0.273684
0.105405,0.284211
0.127027,0.292105
0.145946,0.268421
0.159459,0.247368
0.144595,0.244737
0.131081,0.263158
0.112162,0.252632
0.098649,0.239474
0.083784,0.223684
0.101351,0.210526
0.110811,0.226316
0.127027,0.231579
0.139189,0.215789
0.158108,0.213158
0.147297,0.194737
0.133784,0.171053
0.127027,0.202632
0.116216,0.184211
0.122973,0.155263
0.159459,0.184211
0.168919,0.160526
0.152703,0.155263
0.137838,0.136842
0.125676,0.123684
0.140541,0.105263
0.129730,0.086842
0.152703,0.121053
0.167568,0.134211
0.179730,0.144737
0.198649,0.134211
0.183784,0.121053
0.171622,0.097368
0.154054,0.089474
0.147297,0.065789
0.167568,0.044737
0.179730,0.065789
0.191892,0.092105
0.208108,0.100000
0.216216,0.131579
0.239189,0.121053
0.225676,0.107895
0.218919,0.071053
0.201351,0.068421
0.209459,0.039474
0.187838,0.042105
0.229730,0.047368
0.237838,0.073684
0.244595,0.097368
0.258108,0.110526
0.262162,0.078947
0.250000,0.057895
0.271622,0.065789
0.239189,0.344737
0.240541,0.373684
0.251351,0.350000
0.258108,0.371053
0.256757,0.400000
0.263514,0.426316
0.283784,0.421053
0.274324,0.402632
0.272973,0.373684
0.267568,0.352632
0.281081,0.350000
0.285135,0.373684
0.290541,0.402632
0.305405,0.407895
0.304054,0.381579
0.297297,0.365789
0.293243,0.342105
0.305405,0.350000
0.313514,0.368421
0.320270,0.392105
0.327027,0.357895
0.320270,0.339474
0.310811,0.323684
0.322973,0.305263
0.332432,0.323684
0.335135,0.300000
0.331081,0.281579
0.348649,0.294737
0.341892,0.271053
0.336486,0.250000
0.348649,0.234211
0.359459,0.265789
0.368919,0.281579
0.385135,0.268421
0.375676,0.257895
0.395946,0.244737
0.382432,0.228947
0.364865,0.231579
0.337838,0.221053
0.350000,0.202632
0.368919,0.200000
0.383784,0.194737
0.402703,0.202632
0.398649,0.171053
0.395946,0.147368
0.379730,0.157895
0.359459,0.168421
0.335135,0.194737
0.340541,0.160526
0.322973,0.163158
0.351351,0.136842
0.366216,0.134211
0.385135,0.118421
0.374324,0.097368
0.358108,0.107895
0.339189,0.107895
0.325676,0.128947
0.306757,0.136842
0.293243,0.121053
0.305405,0.110526
0.322973,0.097368
0.340541,0.065789
0.355405,0.076316
0.318919,0.065789
0.306757,0.081579
0.287838,0.081579
0.277027,0.100000
0.295946,0.063158
0.282432,0.255263
0.275676,0.223684
0.270270,0.242105
0.270270,0.265789
0.255405,0.268421
0.256757,0.252632
0.259459,0.234211
0.259459,0.213158
0.240541,0.210526
0.244595,0.228947
0.244595,0.244737
0.239189,0.260526
0.225676,0.257895
0.232432,0.234211
0.224324,0.218421
0.218919,0.239474
