cell-id,cell-label,number-points,CM-0,CM-1,cluster-label,qty-cells-cluster-greater-equal-3
315,315,10,0.621046,0.587149,174,11
319,319,4,0.637723,0.556632,174,11
321,321,3,0.618118,0.636615,174,11
325,325,2,0.656522,0.641833,174,11
327,327,8,0.213358,0.466764,185,10
328,328,9,0.241565,0.422181,185,10
329,329,15,0.215264,0.438593,185,10
331,331,7,0.183058,0.417242,185,10
332,332,13,0.240821,0.44454,185,10
333,333,9,0.187653,0.443986,185,10
334,334,6,0.18266,0.46652,185,10
336,336,5,0.164636,0.438138,185,10
338,338,11,0.215298,0.412993,185,10
339,339,3,0.240811,0.472758,185,10
341,341,4,0.270699,0.41157,190,11
347,347,10,0.328055,0.386751,190,11
348,348,9,0.35532,0.414515,190,11
350,350,13,0.303548,0.411133,190,11
352,352,4,0.278762,0.384329,190,11
353,353,5,0.303094,0.443823,190,11
354,354,5,0.355239,0.382711,190,11
356,356,9,0.329142,0.41022,190,11
357,357,14,0.327836,0.441841,190,11
358,358,8,0.301815,0.390822,190,11
360,360,4,0.327372,0.357678,190,11
366,366,11,0.896541,0.527,147,10
367,367,10,0.925393,0.497667,147,10
369,369,8,0.929743,0.551494,147,10
370,370,7,0.873846,0.526845,147,10
371,371,6,0.872731,0.556712,147,10
373,373,4,0.929891,0.533698,147,10
375,375,8,0.897895,0.55367,147,10
376,376,13,0.901091,0.504378,147,10
386,386,14,0.331473,0.158645,36,12
387,387,11,0.330367,0.18382,36,12
388,388,12,0.304471,0.182722,36,12
389,389,6,0.303587,0.161835,36,12
392,392,7,0.32609,0.207131,36,12
394,394,5,0.357785,0.157451,36,12
396,396,5,0.323022,0.13083,36,12
397,397,4,0.350435,0.186358,36,12
398,398,5,0.303977,0.210657,36,12
399,399,7,0.2745,0.187879,36,12
401,401,5,0.300548,0.134871,36,12
406,406,3,0.051492,0.928677,225,11
407,407,6,0.051054,0.895168,225,11
408,408,15,0.097656,0.898774,225,11
409,409,11,0.126608,0.899635,225,11
410,410,5,0.067934,0.87143,225,11
411,411,13,0.101131,0.921338,225,11
412,412,14,0.077248,0.90364,225,11
416,416,4,0.127268,0.878545,225,11
417,417,3,0.098567,0.945788,225,11
421,421,4,0.128116,0.922293,225,11
422,422,7,0.069222,0.92774,225,11
427,427,9,0.215821,0.641745,236,9
429,429,6,0.241391,0.647094,236,9
430,430,11,0.21698,0.699281,236,9
431,431,16,0.214616,0.670009,236,9
432,432,7,0.187811,0.669505,236,9
434,434,9,0.241178,0.67625,236,9
436,436,6,0.237854,0.693226,236,9
439,439,8,0.185871,0.642981,236,9
440,440,6,0.182915,0.69789,236,9
447,447,9,0.418379,0.904666,248,13
448,448,3,0.446481,0.920019,248,13
449,449,15,0.415198,0.844198,248,13
450,450,7,0.387221,0.898431,248,13
451,451,13,0.414415,0.874833,248,13
452,452,14,0.384984,0.87643,248,13
453,453,3,0.385148,0.851515,248,13
455,455,3,0.41126,0.818458,248,13
456,456,8,0.437842,0.869122,248,13
457,457,3,0.411882,0.925587,248,13
458,458,4,0.438574,0.906901,248,13
463,463,3,0.43177,0.843586,248,13
464,464,2,0.362911,0.86899,248,13
468,468,5,0.788318,0.925721,257,10
469,469,8,0.819506,0.92707,257,10
470,470,9,0.83931,0.92824,257,10
471,471,12,0.840784,0.895481,257,10
473,473,13,0.815867,0.899293,257,10
475,475,2,0.833563,0.878129,257,10
476,476,4,0.811072,0.870565,257,10
477,477,6,0.846392,0.950977,257,10
480,480,4,0.863883,0.957099,257,10
482,482,9,0.787162,0.901499,257,10
487,487,8,0.870535,0.722355,56,10
488,488,16,0.873341,0.673605,56,10
489,489,12,0.872087,0.700382,56,10
491,491,17,0.89586,0.702206,56,10
492,492,7,0.899744,0.67885,56,10
494,494,5,0.897241,0.645523,56,10
497,497,4,0.847948,0.667806,56,10
500,500,4,0.921107,0.720015,56,10
501,501,3,0.893298,0.717683,56,10
505,505,6,0.731958,0.037536,6,11
506,506,20,0.704033,0.069972,6,11
507,507,11,0.704007,0.095358,6,11
508,508,7,0.671696,0.072592,6,11
510,510,4,0.74884,0.054655,6,11
512,512,10,0.728357,0.072115,6,11
513,513,7,0.700273,0.040697,6,11
514,514,4,0.677952,0.040094,6,11
523,523,8,0.735261,0.496563,286,9
524,524,15,0.750256,0.472985,286,9
525,525,9,0.733759,0.442072,286,9
526,526,13,0.731401,0.470466,286,9
527,527,9,0.699377,0.471174,286,9
528,528,3,0.733769,0.419733,286,9
530,530,8,0.754771,0.498367,286,9
531,531,7,0.749353,0.444777,286,9
532,532,6,0.699339,0.445458,286,9
544,544,9,0.730431,0.275232,299,9
546,546,12,0.700514,0.324315,299,9
547,547,5,0.701699,0.273955,299,9
548,548,6,0.707261,0.299719,299,9
549,549,22,0.727574,0.301396,299,9
551,551,8,0.727082,0.323528,299,9
553,553,3,0.752921,0.277389,299,9
556,556,10,0.753215,0.32661,299,9
559,559,4,0.753636,0.298429,299,9
562,562,11,0.275942,0.760172,130,9
563,563,19,0.271648,0.785107,130,9
564,564,6,0.295694,0.81254,130,9
566,566,7,0.247426,0.760543,130,9
568,568,10,0.242454,0.813266,130,9
570,570,7,0.295366,0.783456,130,9
571,571,7,0.246954,0.785642,130,9
573,573,8,0.271262,0.808801,130,9
580,580,2,0.425631,0.695004,105,14
581,581,8,0.44303,0.727525,105,14
582,582,14,0.440083,0.698664,105,14
583,583,13,0.469888,0.697748,105,14
584,584,4,0.500105,0.704077,105,14
585,585,4,0.493825,0.670277,105,14
586,586,1,0.485804,0.716517,105,14
588,588,8,0.474485,0.721994,105,14
589,589,13,0.470906,0.671694,105,14
591,591,10,0.447256,0.670185,105,14
592,592,3,0.435419,0.746601,105,14
594,594,3,0.469,0.646876,105,14
600,600,12,0.096848,0.243312,39,13
601,601,5,0.039401,0.267991,39,13
602,602,13,0.098114,0.270341,39,13
603,603,9,0.046023,0.244973,39,13
604,604,3,0.120831,0.241359,39,13
605,605,2,0.069131,0.198405,39,13
606,606,8,0.09803,0.215721,39,13
607,607,9,0.069428,0.267089,39,13
608,608,9,0.071748,0.243467,39,13
609,609,2,0.052581,0.210255,39,13
610,610,11,0.0677,0.217052,39,13
613,613,3,0.120577,0.266953,39,13
616,616,14,0.100824,0.526876,330,10
617,617,4,0.073077,0.534026,330,10
618,618,10,0.123958,0.470102,330,10
619,619,8,0.103769,0.474296,330,10
620,620,14,0.101558,0.500066,330,10
621,621,6,0.077123,0.49758,330,10
623,623,9,0.125481,0.526804,330,10
625,625,5,0.153892,0.501944,330,10
627,627,2,0.122006,0.455078,330,10
630,630,8,0.125125,0.500816,330,10
