cell-id,cell-label,number-points,CM-0,CM-1,qty-cells-cluster-greater-equal-3,gCluster-label, ground-truth-cell-label
323,323,1,0.608697,0.666057,1,-1,15
324,324,1,0.619985,0.542837,1,-1,15
325,325,2,0.656522,0.641833,11,-1,15
326,326,2,0.640821,0.667762,1,-1,15
327,327,8,0.213358,0.466764,10,185,16
328,328,9,0.241565,0.422181,10,-1,16
329,329,15,0.215264,0.438593,10,185,16
330,330,1,0.245705,0.497973,1,-1,16
331,331,7,0.183058,0.417242,10,-1,16
332,332,13,0.240821,0.44454,10,185,16
333,333,9,0.187653,0.443986,10,185,16
334,334,6,0.18266,0.46652,10,-1,16
335,335,1,0.170255,0.384198,1,-1,16
336,336,5,0.164636,0.438138,10,-1,16
337,337,5,0.157151,0.471458,1,-1,31
338,338,11,0.215298,0.412993,10,185,16
339,339,3,0.240811,0.472758,10,-1,16
340,340,1,0.186125,0.357,1,-1,16
341,341,4,0.270699,0.41157,11,-1,17
342,342,3,0.207371,0.490598,1,-1,16
343,343,2,0.216721,0.39115,1,-1,16
344,344,1,0.232974,0.382536,1,-1,16
345,345,2,0.27367,0.431728,1,-1,16
346,346,4,0.303311,0.360148,1,-1,17
347,347,10,0.328055,0.386751,11,190,17
348,348,9,0.35532,0.414515,11,-1,17
349,349,1,0.336092,0.472,1,-1,17
350,350,13,0.303548,0.411133,11,190,17
351,351,1,0.379716,0.37073,1,-1,17
352,352,4,0.278762,0.384329,11,-1,17
353,353,5,0.303094,0.443823,11,-1,17
354,354,5,0.355239,0.382711,11,-1,17
355,355,2,0.358286,0.435008,1,-1,17
356,356,9,0.329142,0.41022,11,190,17
357,357,14,0.327836,0.441841,11,190,17
358,358,8,0.301815,0.390822,11,190,17
359,359,1,0.296967,0.465354,1,-1,17
360,360,4,0.327372,0.357678,11,-1,17
361,361,2,0.380692,0.386122,1,-1,17
362,362,1,0.351199,0.365221,1,-1,17
363,363,2,0.378528,0.415112,1,-1,17
364,364,1,0.369277,0.459144,1,-1,17
365,365,1,0.371653,0.442441,1,-1,17
366,366,11,0.896541,0.527,10,147,18
367,367,10,0.925393,0.497667,10,-1,18
368,368,1,0.949114,0.485293,2,-1,18
369,369,8,0.929743,0.551494,10,-1,18
370,370,7,0.873846,0.526845,10,-1,18
371,371,6,0.872731,0.556712,10,-1,18
372,372,2,0.853338,0.503221,1,-1,18
373,373,4,0.929891,0.533698,10,-1,18
374,374,2,0.925605,0.574757,1,-1,18
375,375,8,0.897895,0.55367,10,-1,18
376,376,13,0.901091,0.504378,10,147,18
377,377,1,0.924841,0.469464,1,-1,18
378,378,2,0.882661,0.579479,1,-1,18
379,379,2,0.846548,0.556042,1,-1,18
380,380,5,0.84581,0.534091,1,-1,18
381,381,2,0.899168,0.611312,1,-1,18
382,382,2,0.949624,0.531118,1,-1,18
383,383,1,0.973897,0.523247,1,-1,18
384,384,1,0.950133,0.489228,2,-1,18
385,385,2,0.902902,0.578998,1,-1,18
386,386,14,0.331473,0.158645,12,36,19
387,387,11,0.330367,0.18382,12,36,19
388,388,12,0.304471,0.182722,12,36,19
389,389,6,0.303587,0.161835,12,-1,19
390,390,3,0.277616,0.127379,1,-1,19
391,391,1,0.372756,0.110996,1,-1,19
392,392,7,0.32609,0.207131,12,-1,19
393,393,1,0.320476,0.230631,1,-1,19
394,394,5,0.357785,0.157451,12,-1,19
395,395,5,0.272168,0.159532,1,-1,19
396,396,5,0.323022,0.13083,12,-1,19
397,397,4,0.350435,0.186358,12,-1,19
398,398,5,0.303977,0.210657,12,-1,19
399,399,7,0.2745,0.187879,12,-1,19
400,400,2,0.299852,0.235397,1,-1,19
401,401,5,0.300548,0.134871,12,-1,19
402,402,1,0.351114,0.235266,1,-1,19
403,403,1,0.373096,0.15997,1,-1,19
404,404,1,0.24859,0.170901,1,-1,19
405,405,1,0.343052,0.215502,1,-1,19
406,406,3,0.051492,0.928677,11,-1,20
407,407,6,0.051054,0.895168,11,-1,20
408,408,15,0.097656,0.898774,11,225,20
409,409,11,0.126608,0.899635,11,225,20
410,410,5,0.067934,0.87143,11,-1,20
411,411,13,0.101131,0.921338,11,225,20
412,412,14,0.077248,0.90364,11,225,20
413,413,1,0.074096,0.973365,1,-1,20
414,414,3,0.154044,0.934041,1,-1,20
415,415,2,0.06633,0.952289,1,-1,20
416,416,4,0.127268,0.878545,11,-1,20
417,417,3,0.098567,0.945788,11,-1,20
418,418,1,0.038111,0.875243,1,-1,20
419,419,2,0.042694,0.848352,1,-1,20
420,420,1,0.113985,0.856966,1,-1,20
421,421,4,0.128116,0.922293,11,-1,20
422,422,7,0.069222,0.92774,11,225,20
423,423,2,0.102273,0.972053,1,-1,20
424,424,1,0.111694,0.883551,1,-1,20
425,425,1,0.024192,0.883289,1,-1,20
426,426,1,0.15014,0.907338,1,-1,20
427,427,9,0.215821,0.641745,9,-1,21
428,428,3,0.245026,0.736252,1,-1,21
429,429,6,0.241391,0.647094,9,-1,21
430,430,11,0.21698,0.699281,9,236,21
431,431,16,0.214616,0.670009,9,236,21
432,432,7,0.187811,0.669505,9,-1,21
433,433,3,0.212945,0.611399,1,-1,21
434,434,9,0.241178,0.67625,9,236,21
435,435,3,0.215632,0.727361,1,-1,28
436,436,6,0.237854,0.693226,9,-1,21
437,437,1,0.17017,0.71643,1,-1,21
438,438,1,0.224572,0.585863,1,-1,21
439,439,8,0.185871,0.642981,9,-1,21
440,440,6,0.182915,0.69789,9,-1,21
441,441,3,0.264037,0.637548,1,-1,21
442,442,2,0.2606,0.670255,1,-1,21
443,443,2,0.180906,0.623468,1,-1,21
444,444,2,0.185616,0.598762,1,-1,21
445,445,1,0.257502,0.602916,1,-1,21
446,446,1,0.182137,0.722551,1,-1,21
447,447,9,0.418379,0.904666,13,248,22
448,448,3,0.446481,0.920019,13,-1,22
449,449,15,0.415198,0.844198,13,248,22
450,450,7,0.387221,0.898431,13,-1,22
451,451,13,0.414415,0.874833,13,248,22
452,452,14,0.384984,0.87643,13,248,22
453,453,3,0.385148,0.851515,13,-1,22
454,454,4,0.464884,0.871986,1,-1,22
455,455,3,0.41126,0.818458,13,-1,22
456,456,8,0.437842,0.869122,13,-1,22
457,457,3,0.411882,0.925587,13,-1,22
458,458,4,0.438574,0.906901,13,-1,22
459,459,1,0.375472,0.951327,1,-1,22
460,460,1,0.437089,0.806156,1,-1,22
461,461,1,0.369192,0.839563,1,-1,22
462,462,1,0.468491,0.812977,1,-1,22
463,463,3,0.43177,0.843586,13,-1,22
464,464,2,0.362911,0.86899,13,-1,22
465,465,1,0.412815,0.947217,1,-1,22
466,466,2,0.378061,0.921899,1,-1,22
467,467,1,0.376321,0.818837,1,-1,22
468,468,5,0.788318,0.925721,10,-1,23
469,469,8,0.819506,0.92707,10,-1,23
470,470,9,0.83931,0.92824,10,257,23
471,471,12,0.840784,0.895481,10,257,23
472,472,5,0.815375,0.96051,1,-1,23
473,473,13,0.815867,0.899293,10,257,23
474,474,3,0.794084,0.946255,1,-1,23
475,475,2,0.833563,0.878129,10,-1,23
476,476,4,0.811072,0.870565,10,-1,23
477,477,6,0.846392,0.950977,10,-1,23
478,478,4,0.868317,0.927321,1,-1,23
479,479,1,0.953018,0.875331,1,-1,23
480,480,4,0.863883,0.957099,10,-1,23
481,481,1,0.755524,0.938034,1,-1,23
482,482,9,0.787162,0.901499,10,-1,23
483,483,3,0.833775,0.982926,1,-1,23
484,484,1,0.798469,0.992255,1,-1,23
485,485,1,0.921277,0.973015,1,-1,23
486,486,1,0.893354,0.888186,1,-1,23
487,487,8,0.870535,0.722355,10,-1,24
488,488,16,0.873341,0.673605,10,56,24
489,489,12,0.872087,0.700382,10,56,24
490,490,1,0.897258,0.769426,1,-1,24
491,491,17,0.89586,0.702206,10,56,24
492,492,7,0.899744,0.67885,10,-1,24
493,493,2,0.8384,0.691637,1,-1,24
494,494,5,0.897241,0.645523,10,-1,24
495,495,1,0.914911,0.753859,1,-1,24
496,496,1,0.878417,0.649441,1,-1,24
497,497,4,0.847948,0.667806,10,-1,24
498,498,1,0.856096,0.610262,1,-1,24
499,499,1,0.921362,0.687046,1,-1,24
500,500,4,0.921107,0.720015,10,-1,24
501,501,3,0.893298,0.717683,10,-1,24
502,502,2,0.93074,0.674627,1,-1,24
503,503,1,0.944701,0.693255,1,-1,24
504,504,1,0.902605,0.773274,1,-1,24
505,505,6,0.731958,0.037536,11,-1,25
506,506,20,0.704033,0.069972,11,6,25
507,507,11,0.704007,0.095358,11,6,25
508,508,7,0.671696,0.072592,11,-1,25
509,509,2,0.639421,0.09215,1,-1,25
510,510,4,0.74884,0.054655,11,-1,25
511,511,2,0.729935,0.019914,1,-1,25
512,512,10,0.728357,0.072115,11,6,25
513,513,7,0.700273,0.040697,11,-1,25
514,514,4,0.677952,0.040094,11,-1,25
515,515,1,0.684572,0.006753,1,-1,25
516,516,2,0.756627,0.090532,1,-1,25
517,517,3,0.695294,0.012321,1,-1,25
518,518,2,0.678758,0.095386,1,-1,25
519,519,2,0.734646,0.120091,1,-1,25
520,520,1,0.643579,0.070943,1,-1,25
521,521,1,0.636535,0.134259,1,-1,25
522,522,1,0.774026,0.101726,1,-1,25
523,523,8,0.735261,0.496563,9,-1,26
524,524,15,0.750256,0.472985,9,286,26
525,525,9,0.733759,0.442072,9,286,26
526,526,13,0.731401,0.470466,9,286,26
527,527,9,0.699377,0.471174,9,-1,26
528,528,3,0.733769,0.419733,9,-1,26
529,529,3,0.781834,0.526279,1,-1,26
530,530,8,0.754771,0.498367,9,-1,26
531,531,7,0.749353,0.444777,9,-1,26
532,532,6,0.699339,0.445458,9,-1,26
533,533,2,0.699849,0.517694,1,-1,26
534,534,2,0.786629,0.470644,1,-1,26
535,535,1,0.654613,0.512316,1,-1,26
536,536,2,0.754675,0.53243,1,-1,26
537,537,1,0.756458,0.558665,1,-1,26
538,538,2,0.785653,0.444365,1,-1,26
539,539,1,0.710712,0.50392,1,-1,26
540,540,1,0.679055,0.514502,1,-1,26
541,541,1,0.733118,0.541787,1,-1,26
542,542,1,0.741351,0.556042,1,-1,26
543,543,1,0.747037,0.428536,1,-1,26
544,544,9,0.730431,0.275232,9,299,27
545,545,4,0.7795,0.30372,1,-1,27
546,546,12,0.700514,0.324315,9,-1,27
547,547,5,0.701699,0.273955,9,-1,27
548,548,6,0.707261,0.299719,9,299,27
549,549,22,0.727574,0.301396,9,299,27
550,550,2,0.7666,0.354551,2,-1,27
551,551,8,0.727082,0.323528,9,299,27
552,552,1,0.644683,0.275757,1,-1,27
553,553,3,0.752921,0.277389,9,-1,27
554,554,1,0.750686,0.372129,1,-1,27
555,555,1,0.681856,0.310213,1,-1,27
556,556,10,0.753215,0.32661,9,-1,27
557,557,4,0.729978,0.360454,1,-1,27
558,558,1,0.680498,0.357875,1,-1,27
559,559,4,0.753636,0.298429,9,-1,27
560,560,1,0.785908,0.272259,1,-1,27
561,561,2,0.776827,0.323156,1,-1,27
562,562,11,0.275942,0.760172,9,130,28
563,563,19,0.271648,0.785107,9,130,28
564,564,6,0.295694,0.81254,9,-1,28
565,565,3,0.215887,0.811549,1,-1,28
566,566,7,0.247426,0.760543,9,-1,28
567,567,2,0.270827,0.848833,1,-1,28
568,568,10,0.242454,0.813266,9,-1,28
569,569,1,0.305369,0.847783,1,-1,28
570,570,7,0.295366,0.783456,9,130,28
571,571,7,0.246954,0.785642,9,130,28
572,572,1,0.316657,0.788316,1,-1,28
573,573,8,0.271262,0.808801,9,130,28
574,574,1,0.326756,0.771087,1,-1,28
575,575,1,0.243923,0.84551,1,-1,28
576,576,1,0.288395,0.735844,1,-1,28
577,577,1,0.282369,0.730247,1,-1,28
578,578,1,0.319373,0.811403,1,-1,28
579,579,1,0.330491,0.845422,1,-1,28
580,580,2,0.425631,0.695004,14,-1,29
581,581,8,0.44303,0.727525,14,105,29
582,582,14,0.440083,0.698664,14,105,29
583,583,13,0.469888,0.697748,14,105,29
584,584,4,0.500105,0.704077,14,-1,29
585,585,4,0.493825,0.670277,14,-1,29
586,586,1,0.485804,0.716517,14,-1,29
587,587,2,0.531253,0.65084,1,-1,29
588,588,8,0.474485,0.721994,14,105,29
589,589,13,0.470906,0.671694,14,105,29
590,590,2,0.502269,0.75058,1,-1,29
591,591,10,0.447256,0.670185,14,105,29
592,592,3,0.435419,0.746601,14,-1,29
593,593,1,0.421303,0.744852,1,-1,29
594,594,3,0.469,0.646876,14,-1,29
595,595,1,0.520686,0.689669,1,-1,29
596,596,2,0.481518,0.751323,1,-1,29
597,597,1,0.505919,0.655738,1,-1,29
598,598,1,0.122303,0.303129,1,-1,30
599,599,2,0.100236,0.299106,1,-1,30
600,600,12,0.096848,0.243312,13,39,30
601,601,5,0.039401,0.267991,13,-1,30
602,602,13,0.098114,0.270341,13,39,30
603,603,9,0.046023,0.244973,13,39,30
604,604,3,0.120831,0.241359,13,-1,30
605,605,2,0.069131,0.198405,13,-1,30
606,606,8,0.09803,0.215721,13,39,30
607,607,9,0.069428,0.267089,13,39,30
