X,Y,C
0.800242,0.121514,1
0.791768,0.131474,1
0.817191,0.115538,1
0.822034,0.109562,1
0.822034,0.133466,1
0.836562,0.133466,1
0.814770,0.155378,1
0.808717,0.169323,1
0.817191,0.175299,1
0.823245,0.171315,1
0.826877,0.163347,1
0.814770,0.193227,1
0.819613,0.197211,1
0.831719,0.203187,1
0.842615,0.205179,1
0.849879,0.167331,1
0.869249,0.151394,1
0.872881,0.173307,1
0.866828,0.179283,1
0.853511,0.199203,1
0.857143,0.207171,1
0.858354,0.219124,1
0.893462,0.177291,1
0.900726,0.189243,1
0.688862,0.059761,1
0.828087,0.243028,1
0.837772,0.258964,1
0.852300,0.256972,1
0.854722,0.268924,1
0.848668,0.282869,1
0.871671,0.249004,1
0.869249,0.274900,1
0.876513,0.272908,1
0.884988,0.288845,1
0.864407,0.288845,1
0.861985,0.310757,1
0.872881,0.316733,1
0.906780,0.270916,1
0.912833,0.260956,1
0.911622,0.302789,1
0.895884,0.314741,1
0.889831,0.328685,1
0.887409,0.338645,1
0.878935,0.352590,1
0.874092,0.370518,1
0.882567,0.384462,1
0.884988,0.368526,1
0.894673,0.360558,1
0.901937,0.356574,1
0.917676,0.352590,1
0.915254,0.370518,1
0.903148,0.400398,1
0.886199,0.402390,1
0.891041,0.418327,1
0.899516,0.462151,1
0.910412,0.466135,1
0.904358,0.460159,1
0.911622,0.456175,1
0.915254,0.452191,1
0.934625,0.450199,1
0.927361,0.410359,1
0.926150,0.398406,1
0.932203,0.376494,1
0.939467,0.354582,1
0.940678,0.374502,1
0.945521,0.392430,1
0.956416,0.394422,1
0.961259,0.364542,1
0.962470,0.382470,1
0.964891,0.408367,1
0.962470,0.462151,1
0.956416,0.474104,1
0.967312,0.478088,1
0.966102,0.492032,1
0.983051,0.494024,1
0.974576,0.509960,1
0.981840,0.553785,1
0.974576,0.563745,1
0.968523,0.539841,1
0.962470,0.533865,1
0.949153,0.529880,1
0.943099,0.529880,1
0.933414,0.501992,1
0.923729,0.501992,1
0.910412,0.541833,1
0.921308,0.555777,1
0.927361,0.545817,1
0.909201,0.575697,1
0.939467,0.559761,1
0.949153,0.563745,1
