CM-0,CM-1,label-gC,label-GT
0.532297,0.302173,29,2,2
0.532297,0.302173,29,2,2
0.532297,0.302173,29,2,2
0.532297,0.302173,29,2,2
0.532297,0.302173,29,2,2
0.532297,0.302173,29,2,2
0.532297,0.302173,29,2,2
0.532297,0.302173,29,2,2
0.532297,0.302173,29,2,2
0.532297,0.302173,29,2,2
0.532297,0.302173,29,2,2
0.532297,0.302173,29,2,2
0.532297,0.302173,29,2,2
0.586376,0.258441,30,7,2
0.554885,0.302187,31,2,2
0.554885,0.302187,31,2,2
0.554885,0.302187,31,2,2
0.554885,0.302187,31,2,2
0.554885,0.302187,31,2,2
0.554885,0.302187,31,2,2
0.554885,0.302187,31,2,2
0.554885,0.302187,31,2,2
0.554885,0.302187,31,2,2
0.554885,0.302187,31,2,2
0.554885,0.302187,31,2,2
0.554885,0.302187,31,2,2
0.554885,0.302187,31,2,2
0.554885,0.302187,31,2,2
0.554885,0.302187,31,2,2
0.554885,0.302187,31,2,2
0.554885,0.302187,31,2,2
0.554885,0.302187,31,2,2
0.529272,0.324511,32,2,2
0.529272,0.324511,32,2,2
0.529272,0.324511,32,2,2
0.529272,0.324511,32,2,2
0.529272,0.324511,32,2,2
0.529272,0.324511,32,2,2
0.519328,0.355426,33,7,2
0.519328,0.355426,33,7,2
0.506874,0.320029,34,2,2
0.506874,0.320029,34,2,2
0.506874,0.320029,34,2,2
0.506874,0.320029,34,2,2
0.580933,0.300568,35,2,2
0.580933,0.300568,35,2,2
0.580933,0.300568,35,2,2
0.580933,0.300568,35,2,2
0.580933,0.300568,35,2,2
0.580933,0.300568,35,2,2
0.580933,0.300568,35,2,2
0.50019,0.271395,36,2,2
0.50019,0.271395,36,2,2
0.50019,0.271395,36,2,2
0.50019,0.271395,36,2,2
0.50019,0.271395,36,2,2
0.50019,0.271395,36,2,2
0.50019,0.271395,36,2,2
0.50019,0.271395,36,2,2
0.501527,0.359339,37,7,14
0.501527,0.359339,37,7,14
0.501527,0.359339,37,7,14
0.501527,0.359339,37,7,14
0.54636,0.383848,38,7,2
0.54636,0.383848,38,7,2
0.5739,0.237234,39,7,2
0.5739,0.237234,39,7,2
0.607509,0.301468,40,7,2
0.497106,0.236578,41,13,13
0.497106,0.236578,41,13,13
0.497106,0.236578,41,13,13
0.497106,0.236578,41,13,13
0.497106,0.236578,41,13,13
0.497106,0.236578,41,13,13
0.545511,0.27803,42,2,2
0.545511,0.27803,42,2,2
0.473187,0.296862,43,7,2
0.473187,0.296862,43,7,2
0.473187,0.296862,43,7,2
0.531182,0.246956,44,2,2
0.531182,0.246956,44,2,2
0.531182,0.246956,44,2,2
0.531182,0.246956,44,2,2
0.531182,0.246956,44,2,2
0.531182,0.246956,44,2,2
0.608613,0.336886,45,7,2
0.524183,0.385737,46,14,14
0.524183,0.385737,46,14,14
0.524183,0.385737,46,14,14
0.524183,0.385737,46,14,14
0.524183,0.385737,46,14,14
0.554762,0.352496,47,7,2
0.554762,0.352496,47,7,2
0.215859,0.241796,48,3,3
0.215859,0.241796,48,3,3
0.215859,0.241796,48,3,3
0.215859,0.241796,48,3,3
0.215859,0.241796,48,3,3
0.215859,0.241796,48,3,3
0.215859,0.241796,48,3,3
0.215859,0.241796,48,3,3
0.215859,0.241796,48,3,3
0.215859,0.241796,48,3,3
0.215859,0.241796,48,3,3
0.215859,0.241796,48,3,3
0.215859,0.241796,48,3,3
0.215859,0.241796,48,3,3
0.215859,0.241796,48,3,3
0.159154,0.248961,49,3,3
0.159154,0.248961,49,3,3
0.159154,0.248961,49,3,3
0.159154,0.248961,49,3,3
0.159154,0.248961,49,3,3
0.17679,0.314411,50,7,3
0.186684,0.271187,51,3,3
0.186684,0.271187,51,3,3
0.186684,0.271187,51,3,3
0.186684,0.271187,51,3,3
0.186684,0.271187,51,3,3
0.186684,0.271187,51,3,3
0.186684,0.271187,51,3,3
0.186684,0.271187,51,3,3
0.186684,0.271187,51,3,3
0.186684,0.271187,51,3,3
0.186684,0.271187,51,3,3
0.186684,0.271187,51,3,3
0.159731,0.272499,52,3,3
0.159731,0.272499,52,3,3
0.159731,0.272499,52,3,3
0.159731,0.272499,52,3,3
0.185493,0.244067,53,3,3
0.185493,0.244067,53,3,3
0.185493,0.244067,53,3,3
0.185493,0.244067,53,3,3
0.185493,0.244067,53,3,3
0.185493,0.244067,53,3,3
0.185493,0.244067,53,3,3
0.185493,0.244067,53,3,3
0.185493,0.244067,53,3,3
0.185493,0.244067,53,3,3
0.185493,0.244067,53,3,3
0.17679,0.193464,54,7,3
0.17679,0.193464,54,7,3
0.18737,0.213364,55,3,3
0.18737,0.213364,55,3,3
0.18737,0.213364,55,3,3
0.18737,0.213364,55,3,3
0.18737,0.213364,55,3,3
0.18737,0.213364,55,3,3
0.18737,0.213364,55,3,3
0.18737,0.213364,55,3,3
0.18737,0.213364,55,3,3
0.182165,0.292722,56,3,3
0.182165,0.292722,56,3,3
0.182165,0.292722,56,3,3
0.219164,0.275032,57,3,3
0.219164,0.275032,57,3,3
0.219164,0.275032,57,3,3
0.219164,0.275032,57,3,3
0.219164,0.275032,57,3,3
0.219164,0.275032,57,3,3
0.219164,0.275032,57,3,3
0.23412,0.269591,58,3,3
0.23412,0.269591,58,3,3
0.23412,0.269591,58,3,3
0.23412,0.269591,58,3,3
0.23412,0.269591,58,3,3
0.23412,0.269591,58,3,3
0.23412,0.269591,58,3,3
0.23412,0.269591,58,3,3
0.21948,0.216184,59,3,3
0.21948,0.216184,59,3,3
0.21948,0.216184,59,3,3
0.21948,0.216184,59,3,3
0.21948,0.216184,59,3,3
0.21617,0.299544,60,7,3
0.21617,0.299544,60,7,3
0.21617,0.299544,60,7,3
0.241673,0.235048,61,7,3
0.241673,0.235048,61,7,3
0.247063,0.209402,62,7,3
0.247063,0.209402,62,7,3
0.247063,0.209402,62,7,3
0.247063,0.209402,62,7,3
0.227203,0.191584,63,7,3
0.227203,0.191584,63,7,3
0.271704,0.204366,64,19,3
0.271704,0.204366,64,19,3
0.271704,0.204366,64,19,3
0.241122,0.32884,65,7,3
0.153705,0.222629,66,7,3
0.153705,0.222629,66,7,3
0.120732,0.218606,67,30,30
0.120732,0.218606,67,30,30
0.120732,0.218606,67,30,30
0.120732,0.218606,67,30,30
0.276768,0.238589,68,7,3
0.236539,0.30243,69,7,3
0.165502,0.296308,70,7,3
0.165502,0.296308,70,7,3
0.78553,0.788697,71,4,4
0.78553,0.788697,71,4,4
0.78553,0.788697,71,4,4
0.78553,0.788697,71,4,4
0.78553,0.788697,71,4,4
0.78553,0.788697,71,4,4
0.78553,0.788697,71,4,4
0.78553,0.788697,71,4,4
0.78553,0.788697,71,4,4
0.78553,0.788697,71,4,4
0.78553,0.788697,71,4,4
0.808292,0.788123,72,4,4
0.808292,0.788123,72,4,4
0.808292,0.788123,72,4,4
0.808292,0.788123,72,4,4
0.808292,0.788123,72,4,4
0.808292,0.788123,72,4,4
0.808292,0.788123,72,4,4
0.808292,0.788123,72,4,4
0.808292,0.788123,72,4,4
0.808292,0.788123,72,4,4
0.808292,0.788123,72,4,4
0.808292,0.788123,72,4,4
0.808292,0.788123,72,4,4
0.808292,0.788123,72,4,4
0.808292,0.788123,72,4,4
0.808292,0.788123,72,4,4
0.808292,0.788123,72,4,4
0.808292,0.788123,72,4,4
0.808292,0.788123,72,4,4
0.808292,0.788123,72,4,4
0.779797,0.813808,73,4,4
0.779797,0.813808,73,4,4
0.779797,0.813808,73,4,4
0.779797,0.813808,73,4,4
0.867935,0.794875,74,7,4
0.867935,0.794875,74,7,4
0.867935,0.794875,74,7,4
0.867935,0.794875,74,7,4
0.869013,0.751795,75,4,24
0.869013,0.751795,75,4,24
0.869013,0.751795,75,4,24
0.869013,0.751795,75,4,24
0.869013,0.751795,75,4,24
0.813727,0.810033,76,4,4
0.813727,0.810033,76,4,4
0.813727,0.810033,76,4,4
0.813727,0.810033,76,4,4
0.813727,0.810033,76,4,4
0.813727,0.810033,76,4,4
0.813727,0.810033,76,4,4
0.813727,0.810033,76,4,4
0.813727,0.810033,76,4,4
0.768255,0.750886,77,7,4
0.752935,0.735232,78,7,4
0.752935,0.735232,78,7,4
0.847736,0.844394,79,7,4
0.847736,0.844394,79,7,4
0.847736,0.844394,79,7,4
0.847736,0.844394,79,7,4
0.786663,0.762027,80,4,4
0.786663,0.762027,80,4,4
0.786663,0.762027,80,4,4
0.786663,0.762027,80,4,4
0.786663,0.762027,80,4,4
0.786663,0.762027,80,4,4
0.786663,0.762027,80,4,4
0.786663,0.762027,80,4,4
0.786663,0.762027,80,4,4
0.786663,0.762027,80,4,4
0.809884,0.736719,81,7,4
0.809884,0.736719,81,7,4
0.75807,0.773973,82,7,4
0.768509,0.852068,83,7,4
0.809576,0.756199,84,4,4
0.809576,0.756199,84,4,4
0.809576,0.756199,84,4,4
0.809576,0.756199,84,4,4
0.809576,0.756199,84,4,4
0.809576,0.756199,84,4,4
0.809576,0.756199,84,4,4
0.809576,0.756199,84,4,4
0.844373,0.767316,85,4,4
0.844373,0.767316,85,4,4
0.844373,0.767316,85,4,4
0.844373,0.767316,85,4,4
0.844373,0.767316,85,4,4
0.844373,0.767316,85,4,4
0.844373,0.767316,85,4,4
0.844373,0.767316,85,4,4
0.754166,0.80601,86,7,4
0.754166,0.80601,86,7,4
0.754166,0.80601,86,7,4
0.835235,0.785342,87,4,4
0.835235,0.785342,87,4,4
0.835235,0.785342,87,4,4
0.835235,0.785342,87,4,4
0.835235,0.785342,87,4,4
0.785285,0.873174,88,7,23
0.785285,0.873174,88,7,23
0.785285,0.873174,88,7,23
0.843514,0.811381,89,7,4
0.843514,0.811381,89,7,4
0.843514,0.811381,89,7,4
0.843514,0.811381,89,7,4
0.822911,0.703968,90,7,4
0.822911,0.703968,90,7,4
0.801651,0.837245,91,7,4
0.801651,0.837245,91,7,4
0.843609,0.728389,92,24,24
0.843609,0.728389,92,24,24
0.843609,0.728389,92,24,24
0.843609,0.728389,92,24,24
0.843609,0.728389,92,24,24
0.843609,0.728389,92,24,24
0.843609,0.728389,92,24,24
0.843609,0.728389,92,24,24
0.045545,0.667841,93,5,5
0.045545,0.667841,93,5,5
0.045545,0.667841,93,5,5
0.045545,0.667841,93,5,5
0.045545,0.667841,93,5,5
0.098189,0.610186,94,5,5
0.098189,0.610186,94,5,5
0.098189,0.610186,94,5,5
0.098189,0.610186,94,5,5
0.098189,0.610186,94,5,5
0.098189,0.610186,94,5,5
0.098189,0.610186,94,5,5
0.098189,0.610186,94,5,5
0.047379,0.620022,95,5,5
0.047379,0.620022,95,5,5
0.047379,0.620022,95,5,5
0.047379,0.620022,95,5,5
0.047379,0.620022,95,5,5
0.095496,0.589886,96,5,5
0.095496,0.589886,96,5,5
0.095496,0.589886,96,5,5
0.095496,0.589886,96,5,5
0.095496,0.589886,96,5,5
0.095496,0.589886,96,5,5
0.095496,0.589886,96,5,5
0.104819,0.698327,97,7,5
0.072186,0.640547,98,5,5
0.072186,0.640547,98,5,5
0.072186,0.640547,98,5,5
0.072186,0.640547,98,5,5
0.072186,0.640547,98,5,5
0.072186,0.640547,98,5,5
0.072186,0.640547,98,5,5
0.072186,0.640547,98,5,5
0.072186,0.640547,98,5,5
0.072186,0.640547,98,5,5
0.121581,0.583874,99,7,5
0.121581,0.583874,99,7,5
0.121581,0.583874,99,7,5
0.121581,0.583874,99,7,5
0.070277,0.665357,100,7,5
0.143351,0.659498,101,7,5
0.074397,0.616106,102,5,5
0.074397,0.616106,102,5,5
0.074397,0.616106,102,5,5
0.074397,0.616106,102,5,5
0.074397,0.616106,102,5,5
0.074397,0.616106,102,5,5
0.074397,0.616106,102,5,5
0.074397,0.616106,102,5,5
0.074397,0.616106,102,5,5
0.074397,0.616106,102,5,5
0.074397,0.616106,102,5,5
0.122453,0.619338,103,5,5
0.122453,0.619338,103,5,5
0.122453,0.619338,103,5,5
0.122453,0.619338,103,5,5
0.122453,0.619338,103,5,5
0.122453,0.619338,103,5,5
0.122453,0.619338,103,5,5
0.122453,0.619338,103,5,5
0.122453,0.619338,103,5,5
0.045274,0.645838,104,5,5
0.045274,0.645838,104,5,5
0.045274,0.645838,104,5,5
0.045274,0.645838,104,5,5
0.045274,0.645838,104,5,5
0.097631,0.640119,105,5,5
0.097631,0.640119,105,5,5
0.097631,0.640119,105,5,5
0.097631,0.640119,105,5,5
0.097631,0.640119,105,5,5
0.097631,0.640119,105,5,5
0.097631,0.640119,105,5,5
0.097631,0.640119,105,5,5
0.097631,0.640119,105,5,5
0.097631,0.640119,105,5,5
0.12731,0.673578,106,7,5
0.12731,0.673578,106,7,5
0.12731,0.673578,106,7,5
0.12731,0.673578,106,7,5
0.06493,0.592728,107,7,5
0.06493,0.592728,107,7,5
0.15891,0.617025,108,7,5
0.15891,0.617025,108,7,5
0.15891,0.617025,108,7,5
0.15891,0.617025,108,7,5
0.15891,0.617025,108,7,5
0.15891,0.617025,108,7,5
0.102086,0.668576,109,5,5
0.102086,0.668576,109,5,5
0.102086,0.668576,109,5,5
0.102086,0.668576,109,5,5
0.102086,0.668576,109,5,5
0.095229,0.561435,110,7,5
0.095229,0.561435,110,7,5
0.095229,0.561435,110,7,5
0.128753,0.637548,111,5,5
0.128753,0.637548,111,5,5
0.128753,0.637548,111,5,5
0.013965,0.637416,112,7,5
0.013965,0.637416,112,7,5
0.151244,0.687046,113,7,5
0.079867,0.556479,114,7,31
0.079867,0.556479,114,7,31
0.079867,0.556479,114,7,31
0.079867,0.556479,114,7,31
0.924612,0.271227,115,6,6
0.924612,0.271227,115,6,6
0.924612,0.271227,115,6,6
0.924612,0.271227,115,6,6
0.924612,0.271227,115,6,6
0.924612,0.271227,115,6,6
0.924612,0.271227,115,6,6
0.924612,0.271227,115,6,6
0.924612,0.271227,115,6,6
0.924612,0.271227,115,6,6
0.893683,0.269897,116,6,6
0.893683,0.269897,116,6,6
0.893683,0.269897,116,6,6
0.893683,0.269897,116,6,6
0.893683,0.269897,116,6,6
0.893683,0.269897,116,6,6
0.893683,0.269897,116,6,6
0.893683,0.269897,116,6,6
0.866174,0.261917,117,6,6
0.866174,0.261917,117,6,6
0.866174,0.261917,117,6,6
0.866174,0.261917,117,6,6
0.872762,0.217962,118,6,6
0.872762,0.217962,118,6,6
0.872762,0.217962,118,6,6
0.872762,0.217962,118,6,6
0.872762,0.217962,118,6,6
0.872762,0.217962,118,6,6
0.872762,0.217962,118,6,6
0.872762,0.217962,118,6,6
0.84805,0.244694,119,6,6
0.84805,0.244694,119,6,6
0.84805,0.244694,119,6,6
0.84805,0.244694,119,6,6
0.84805,0.244694,119,6,6
0.875075,0.249417,120,6,6
0.875075,0.249417,120,6,6
0.875075,0.249417,120,6,6
0.875075,0.249417,120,6,6
0.875075,0.249417,120,6,6
0.875075,0.249417,120,6,6
0.875075,0.249417,120,6,6
0.875075,0.249417,120,6,6
0.875075,0.249417,120,6,6
0.875075,0.249417,120,6,6
0.875075,0.249417,120,6,6
0.875075,0.249417,120,6,6
0.875075,0.249417,120,6,6
0.875075,0.249417,120,6,6
0.875075,0.249417,120,6,6
0.875075,0.249417,120,6,6
0.934856,0.25538,121,7,6
0.897606,0.21447,122,6,6
0.897606,0.21447,122,6,6
0.897606,0.21447,122,6,6
0.897606,0.21447,122,6,6
0.897606,0.21447,122,6,6
0.897606,0.21447,122,6,6
0.897606,0.21447,122,6,6
0.897606,0.21447,122,6,6
0.897606,0.21447,122,6,6
0.897606,0.21447,122,6,6
0.850664,0.171601,123,7,6
0.844426,0.217644,124,7,6
0.844426,0.217644,124,7,6
0.900092,0.244126,125,6,6
0.900092,0.244126,125,6,6
0.900092,0.244126,125,6,6
0.900092,0.244126,125,6,6
0.900092,0.244126,125,6,6
0.900092,0.244126,125,6,6
0.900092,0.244126,125,6,6
0.900092,0.244126,125,6,6
0.900092,0.244126,125,6,6
0.900092,0.244126,125,6,6
0.900092,0.244126,125,6,6
0.900092,0.244126,125,6,6
0.900092,0.244126,125,6,6
0.878276,0.296541,126,7,6
0.878276,0.296541,126,7,6
0.878276,0.296541,126,7,6
0.985015,0.229582,127,7,6
0.81417,0.219117,128,7,11
0.81417,0.219117,128,7,11
0.81417,0.219117,128,7,11
0.845388,0.268236,129,6,6
0.845388,0.268236,129,6,6
0.845388,0.268236,129,6,6
0.845388,0.268236,129,6,6
0.845388,0.268236,129,6,6
0.845388,0.268236,129,6,6
0.89491,0.322311,130,7,6
0.89491,0.322311,130,7,6
0.89491,0.322311,130,7,6
0.872943,0.328228,131,7,6
0.872943,0.328228,131,7,6
0.892887,0.294428,132,7,6
0.892887,0.294428,132,7,6
0.843026,0.294034,133,7,6
0.88597,0.174137,134,7,6
0.880624,0.195169,135,7,6
0.880624,0.195169,135,7,6
0.624229,0.920106,136,7,7
0.624229,0.920106,136,7,7
0.67296,0.898814,137,7,7
0.67296,0.898814,137,7,7
0.67296,0.898814,137,7,7
0.67296,0.898814,137,7,7
0.67296,0.898814,137,7,7
0.67296,0.898814,137,7,7
0.67296,0.898814,137,7,7
0.67296,0.898814,137,7,7
0.67296,0.898814,137,7,7
0.67296,0.898814,137,7,7
0.67296,0.898814,137,7,7
0.67296,0.898814,137,7,7
0.67296,0.898814,137,7,7
0.67296,0.898814,137,7,7
0.67296,0.898814,137,7,7
0.67296,0.898814,137,7,7
0.67296,0.898814,137,7,7
0.672181,0.843017,138,7,7
0.672181,0.843017,138,7,7
0.647012,0.899293,139,7,7
0.647012,0.899293,139,7,7
0.647012,0.899293,139,7,7
0.647012,0.899293,139,7,7
0.647012,0.899293,139,7,7
0.647012,0.899293,139,7,7
0.647012,0.899293,139,7,7
0.647012,0.899293,139,7,7
0.647012,0.899293,139,7,7
0.697566,0.899476,140,7,7
0.697566,0.899476,140,7,7
0.697566,0.899476,140,7,7
0.697566,0.899476,140,7,7
0.697566,0.899476,140,7,7
0.697566,0.899476,140,7,7
0.697566,0.899476,140,7,7
0.697566,0.899476,140,7,7
0.697566,0.899476,140,7,7
0.697566,0.899476,140,7,7
0.760574,0.882065,141,7,7
0.760574,0.882065,141,7,7
0.695567,0.923857,142,7,7
0.695567,0.923857,142,7,7
0.695567,0.923857,142,7,7
0.695567,0.923857,142,7,7
0.695567,0.923857,142,7,7
0.695567,0.923857,142,7,7
0.695567,0.923857,142,7,7
0.695567,0.923857,142,7,7
0.695567,0.923857,142,7,7
0.730911,0.904511,143,7,7
0.730911,0.904511,143,7,7
0.730911,0.904511,143,7,7
0.696454,0.87732,144,7,7
0.696454,0.87732,144,7,7
0.696454,0.87732,144,7,7
0.696454,0.87732,144,7,7
0.696454,0.87732,144,7,7
0.696454,0.87732,144,7,7
0.696454,0.87732,144,7,7
0.696454,0.87732,144,7,7
0.66801,0.92799,145,7,7
0.66801,0.92799,145,7,7
0.66801,0.92799,145,7,7
0.66801,0.92799,145,7,7
0.66801,0.92799,145,7,7
0.66801,0.92799,145,7,7
0.66801,0.92799,145,7,7
0.726102,0.920923,146,7,7
0.726102,0.920923,146,7,7
0.726102,0.920923,146,7,7
0.670589,0.872084,147,7,7
0.670589,0.872084,147,7,7
0.670589,0.872084,147,7,7
0.670589,0.872084,147,7,7
0.670589,0.872084,147,7,7
0.670589,0.872084,147,7,7
0.670589,0.872084,147,7,7
0.670589,0.872084,147,7,7
0.647441,0.923298,148,7,7
0.647441,0.923298,148,7,7
0.647441,0.923298,148,7,7
0.647441,0.923298,148,7,7
0.721236,0.860683,149,7,7
0.721236,0.860683,149,7,7
0.650369,0.878392,150,7,7
0.650369,0.878392,150,7,7
0.650369,0.878392,150,7,7
0.650369,0.878392,150,7,7
0.720303,0.965932,151,7,7
0.627369,0.857753,152,7,7
0.74691,0.957798,153,7,7
0.74691,0.957798,153,7,7
0.694841,0.850144,154,7,7
0.659535,0.976251,155,7,7
0.691531,0.944331,156,7,7
0.727007,0.979137,157,7,7
0.654443,0.991905,158,7,7
0.613365,0.905502,159,7,7
0.757391,0.907426,160,7,7
0.757391,0.907426,160,7,7
0.669889,0.94608,161,7,7
0.387848,0.559293,162,8,8
0.387848,0.559293,162,8,8
0.387848,0.559293,162,8,8
0.387848,0.559293,162,8,8
0.387848,0.559293,162,8,8
0.387848,0.559293,162,8,8
0.387848,0.559293,162,8,8
0.387848,0.559293,162,8,8
0.387848,0.559293,162,8,8
0.387848,0.559293,162,8,8
0.387848,0.559293,162,8,8
0.40914,0.583912,163,8,8
0.40914,0.583912,163,8,8
0.40914,0.583912,163,8,8
0.40914,0.583912,163,8,8
0.40914,0.583912,163,8,8
0.40914,0.583912,163,8,8
0.40914,0.583912,163,8,8
0.40914,0.583912,163,8,8
0.40914,0.583912,163,8,8
0.40914,0.583912,163,8,8
0.40914,0.583912,163,8,8
0.40914,0.583912,163,8,8
0.40914,0.583912,163,8,8
0.38514,0.58917,164,8,8
0.38514,0.58917,164,8,8
0.38514,0.58917,164,8,8
0.38514,0.58917,164,8,8
0.38514,0.58917,164,8,8
0.38514,0.58917,164,8,8
0.38514,0.58917,164,8,8
0.38514,0.58917,164,8,8
0.38514,0.58917,164,8,8
0.38514,0.58917,164,8,8
0.38514,0.58917,164,8,8
0.411665,0.552087,165,8,8
0.411665,0.552087,165,8,8
0.411665,0.552087,165,8,8
0.411665,0.552087,165,8,8
0.411665,0.552087,165,8,8
0.411665,0.552087,165,8,8
0.411665,0.552087,165,8,8
0.411665,0.552087,165,8,8
0.411665,0.552087,165,8,8
0.359884,0.612215,166,7,8
0.359884,0.612215,166,7,8
0.359884,0.612215,166,7,8
0.41882,0.604971,167,8,8
0.41882,0.604971,167,8,8
0.41882,0.604971,167,8,8
0.41882,0.604971,167,8,8
0.461892,0.590826,168,8,8
0.461892,0.590826,168,8,8
0.461892,0.590826,168,8,8
0.461892,0.590826,168,8,8
0.413551,0.536773,169,8,8
0.413551,0.536773,169,8,8
0.413551,0.536773,169,8,8
0.413551,0.536773,169,8,8
0.413551,0.536773,169,8,8
0.413551,0.536773,169,8,8
0.380055,0.502608,170,7,8
0.446962,0.582948,171,8,8
0.446962,0.582948,171,8,8
0.446962,0.582948,171,8,8
0.446962,0.582948,171,8,8
0.446962,0.582948,171,8,8
0.446962,0.582948,171,8,8
0.440632,0.558665,172,7,8
0.440632,0.558665,172,7,8
0.440632,0.558665,172,7,8
0.440632,0.558665,172,7,8
0.378485,0.642642,173,7,8
0.378485,0.642642,173,7,8
0.378485,0.642642,173,7,8
0.378485,0.642642,173,7,8
0.446509,0.645331,174,29,29
0.446509,0.645331,174,29,29
0.446509,0.645331,174,29,29
0.446509,0.645331,174,29,29
0.468745,0.503046,175,7,8
0.363421,0.58786,176,8,8
0.363421,0.58786,176,8,8
0.363421,0.58786,176,8,8
0.363421,0.58786,176,8,8
0.363421,0.58786,176,8,8
0.363421,0.58786,176,8,8
0.486144,0.547734,177,7,8
0.390494,0.609169,178,8,8
0.390494,0.609169,178,8,8
0.360493,0.558184,179,8,8
0.360493,0.558184,179,8,8
0.360493,0.558184,179,8,8
0.360493,0.558184,179,8,8
0.436537,0.540956,180,7,8
0.436537,0.540956,180,7,8
0.47197,0.554293,181,7,8
0.47197,0.554293,181,7,8
0.4331,0.606327,182,7,8
0.389165,0.527999,183,7,8
0.389165,0.527999,183,7,8
0.389165,0.527999,183,7,8
0.354849,0.537065,184,7,8
0.424358,0.499897,185,7,8
0.424358,0.499897,185,7,8
0.405517,0.635973,186,7,8
0.558775,0.870952,187,9,9
0.558775,0.870952,187,9,9
0.558775,0.870952,187,9,9
0.558775,0.870952,187,9,9
0.558775,0.870952,187,9,9
