CM-0,CM-1,cell-id,number-points,connected-cells,gCluster-label
0.914837,0.19522,281,1,1,-1
0.918141,0.456458,282,1,1,-1
0.927222,0.074189,283,3,1,-1
0.928661,0.188599,284,8,1,-1
0.922168,0.278305,285,1,1,-1
0.924677,0.309562,286,2,1,-1
0.929981,0.231281,287,2,1,-1
0.924297,0.136572,288,1,1,-1
0.926133,0.205379,289,2,1,-1
0.93099,0.389347,290,1,1,-1
0.932489,0.442522,291,1,1,-1
0.936262,0.172507,292,3,1,-1
0.935067,0.429923,293,2,1,-1
0.937065,0.32211,294,2,1,-1
0.938318,0.158494,295,1,1,-1
0.939171,0.368319,296,1,1,-1
0.939605,0.110789,297,1,1,-1
0.939781,0.474182,298,1,1,-1
0.94833,0.088221,299,2,1,-1
0.949415,0.310726,300,2,1,-1
0.948367,0.15085,301,6,1,-1
0.94565,0.236314,302,2,1,-1
0.942129,0.160398,303,1,1,-1
0.945782,0.291739,304,2,1,-1
0.947691,0.072717,305,2,1,-1
0.944335,0.248848,306,1,1,-1
0.946595,0.468943,307,2,1,-1
0.952067,0.128061,308,5,1,-1
0.949644,0.023502,309,1,1,-1
0.950387,0.411813,310,1,1,-1
0.950506,0.325273,311,1,1,-1
0.955829,0.111667,312,6,1,-1
0.953567,0.011791,313,1,1,-1
0.961199,0.27206,314,2,1,-1
0.965636,0.086156,315,5,1,-1
0.962548,0.363788,316,1,1,-1
0.963137,0.133698,317,1,1,-1
0.970562,0.189731,318,2,1,-1
0.964641,0.113537,319,1,1,-1
0.96921,0.073406,320,2,1,-1
0.969941,0.328811,321,1,1,-1
0.97058,0.140155,322,1,1,-1
0.971152,0.296981,323,1,1,-1
0.972075,0.470176,324,1,1,-1
0.976636,0.019995,325,1,1,-1
0.97751,0.451454,326,2,1,-1
0.977697,0.307251,327,1,1,-1
0.9818,0.053888,328,1,1,-1
0.98471,0.267709,329,2,1,-1
0.984538,0.413869,330,3,1,-1
0.985485,0.164337,331,3,1,-1
0.985177,0.35216,332,1,1,-1
0.985438,0.227636,333,1,1,-1
0.986567,0.47662,334,1,1,-1
0.990802,0.06959,335,2,1,-1
0.991688,0.322414,336,1,1,-1
0.108054,0.323503,337,5,144,0
0.148883,0.070141,338,15,144,0
0.145451,0.056752,339,8,144,0
0.630017,0.271265,340,15,53,1
0.07311,0.229059,341,9,144,0
0.072864,0.271793,342,8,144,0
0.070889,0.246751,343,6,144,0
0.068368,0.290162,344,14,144,0
0.074987,0.127069,345,9,144,0
0.074186,0.090385,346,9,144,0
0.074815,0.1902,347,12,144,0
0.073503,0.167394,348,4,144,0
0.07604,0.070254,349,8,144,0
0.075152,0.111258,350,14,144,0
0.075632,0.055154,351,4,144,0
0.076782,0.210808,352,6,144,0
0.08617,0.192883,353,12,144,0
0.087574,0.069621,354,17,144,0
0.087486,0.272367,355,13,144,0
0.087845,0.108556,356,20,144,0
0.090237,0.130913,357,10,144,0
0.089228,0.290767,358,17,144,0
0.091006,0.166608,359,22,144,0
0.088702,0.229883,360,14,144,0
0.089986,0.148148,361,19,144,0
0.090322,0.251965,362,20,144,0
0.086425,0.322691,363,3,144,0
0.090779,0.209111,364,17,144,0
0.09468,0.087857,365,8,144,0
0.091677,0.30797,366,16,144,0
0.090562,0.054521,367,6,144,0
0.111141,0.151171,368,11,144,0
0.107928,0.110049,369,15,144,0
0.106533,0.228842,370,13,144,0
0.108225,0.189848,371,24,144,0
0.111465,0.310509,372,14,144,0
0.110475,0.068887,373,15,144,0
0.109846,0.209854,374,15,144,0
0.111465,0.16977,375,16,144,0
0.109449,0.287905,376,18,144,0
0.108087,0.055631,377,6,144,0
0.107718,0.127278,378,12,144,0
0.110171,0.250187,379,16,144,0
0.111794,0.09123,380,16,144,0
0.109917,0.269605,381,18,144,0
0.128029,0.091073,382,16,144,0
0.126232,0.231509,383,10,144,0
0.125139,0.208062,384,8,144,0
0.127896,0.247194,385,5,144,0
0.127441,0.31254,386,6,144,0
0.124331,0.151418,387,5,144,0
0.126714,0.269847,388,11,144,0
0.129909,0.07062,389,21,144,0
0.127465,0.107256,390,13,144,0
0.124902,0.189309,391,9,144,0
0.131433,0.054605,392,7,144,0
0.124495,0.128453,393,4,1,-1
0.128518,0.168204,394,4,144,0
0.148132,0.089014,395,11,144,0
0.148126,0.107242,396,15,144,0
0.16799,0.053927,397,10,144,0
0.1709,0.069191,398,14,144,0
0.169173,0.109871,399,11,144,0
0.173044,0.088768,400,17,144,0
0.186566,0.106409,401,14,144,0
0.191505,0.090084,402,17,144,0
0.188844,0.070352,403,14,144,0
0.191408,0.0545,404,11,144,0
0.20541,0.055214,405,7,144,0
0.211171,0.091289,406,16,144,0
0.211875,0.107433,407,24,144,0
0.212403,0.071181,408,11,144,0
0.230523,0.087555,409,24,144,0
0.231504,0.068745,410,17,144,0
0.22769,0.05595,411,6,144,0
0.229186,0.106397,412,13,144,0
0.247402,0.088767,413,23,144,0
0.249977,0.070622,414,16,144,0
0.246663,0.052418,415,5,144,0
0.253688,0.107982,416,9,144,0
0.264408,0.152953,417,8,144,0
0.268725,0.068237,418,16,144,0
0.268294,0.091043,419,17,144,0
0.268761,0.055004,420,12,144,0
0.269239,0.108551,421,13,144,0
0.275573,0.12837,422,4,144,0
0.278094,0.2891,423,2,144,0
0.279762,0.207842,424,1,144,0
0.290825,0.288892,425,20,144,0
0.289222,0.188723,426,20,144,0
0.288635,0.128481,427,15,144,0
0.285995,0.322277,428,5,144,0
0.287219,0.092782,429,15,144,0
0.290406,0.310569,430,24,144,0
0.288272,0.20892,431,14,144,0
0.289976,0.172198,432,14,144,0
0.291639,0.248988,433,10,144,0
0.290702,0.151685,434,25,144,0
0.28977,0.054039,435,11,144,0
0.289512,0.270024,436,18,144,0
0.292838,0.228692,437,19,144,0
0.289425,0.070639,438,8,144,0
0.290793,0.108611,439,13,144,0
0.309182,0.130806,440,16,144,0
0.310473,0.171628,441,13,144,0
0.310248,0.070544,442,20,144,0
0.311155,0.151561,443,12,144,0
0.311442,0.288997,444,16,144,0
0.3124,0.21068,445,18,144,0
0.307792,0.092318,446,14,144,0
0.311677,0.310117,447,17,144,0
0.309286,0.22864,448,22,144,0
0.312189,0.188478,449,18,144,0
0.309624,0.266084,450,13,144,0
0.311393,0.249778,451,15,144,0
0.311588,0.109472,452,17,144,0
0.312196,0.323431,453,2,144,0
0.311337,0.053346,454,6,144,0
0.328981,0.287393,455,17,144,0
0.327969,0.071702,456,15,144,0
0.331274,0.168476,457,21,144,0
0.331968,0.311454,458,18,144,0
0.328773,0.189095,459,13,144,0
0.32892,0.230095,460,21,144,0
0.329266,0.252508,461,13,144,0
0.32706,0.32382,462,4,144,0
0.331533,0.110671,463,15,144,0
0.330805,0.131862,464,16,144,0
0.328781,0.152694,465,9,144,0
0.332106,0.209537,466,18,144,0
0.330125,0.091925,467,13,144,0
0.331556,0.269792,468,17,144,0
0.330071,0.056354,469,6,144,0
0.344847,0.229235,470,7,144,0
0.341476,0.149603,471,4,144,0
0.3419,0.128681,472,4,144,0
0.349843,0.089967,473,15,144,0
0.344362,0.070654,474,9,144,0
0.341413,0.20723,475,3,144,0
0.348206,0.11238,476,7,144,0
0.347443,0.311982,477,3,144,0
0.344578,0.268935,478,5,144,0
0.345959,0.288414,479,6,144,0
0.343059,0.246363,480,4,144,0
0.343388,0.17134,481,4,144,0
0.344751,0.188244,482,4,144,0
0.497333,0.391918,483,4,51,2
0.498341,0.369307,484,2,51,2
0.512797,0.408798,485,11,51,2
0.506416,0.37098,486,10,51,2
0.512258,0.390858,487,12,51,2
0.509952,0.428479,488,11,51,2
0.526928,0.392556,489,14,51,2
0.52598,0.423826,490,5,51,2
0.531513,0.368551,491,19,51,2
0.531252,0.409722,492,19,51,2
0.549512,0.408215,493,22,51,2
0.548629,0.369589,494,18,51,2
0.551714,0.424835,495,4,51,2
0.552606,0.391017,496,8,51,2
0.568426,0.388945,497,13,51,2
0.567461,0.372319,498,14,51,2
0.570023,0.410496,499,14,51,2
0.569596,0.423359,500,9,51,2
0.589866,0.370853,501,15,51,2
0.587527,0.424272,502,10,51,2
0.589906,0.390323,503,17,51,2
0.589391,0.409883,504,13,51,2
0.607498,0.372494,505,18,51,2
0.608444,0.387499,506,13,51,2
0.6086,0.424447,507,3,1,-1
0.610165,0.411202,508,10,51,2
0.628848,0.373598,509,12,51,2
0.629655,0.410549,510,17,51,2
0.630524,0.392255,511,16,51,2
0.629421,0.424927,512,7,51,2
0.649665,0.369959,513,16,51,2
0.647902,0.411004,514,18,51,2
0.653955,0.390235,515,15,51,2
0.66756,0.409104,516,17,51,2
0.669521,0.390606,517,11,51,2
0.669093,0.427965,518,7,51,2
0.670352,0.369729,519,13,51,2
0.690364,0.410233,520,20,51,2
0.69055,0.387933,521,16,51,2
0.691652,0.369914,522,13,51,2
0.69075,0.422458,523,6,51,2
0.709801,0.409496,524,16,51,2
0.709835,0.424657,525,4,51,2
0.712142,0.388776,526,16,51,2
0.71293,0.372996,527,16,51,2
0.726374,0.426304,528,5,51,2
0.730544,0.370908,529,13,51,2
0.73144,0.410268,530,13,51,2
0.729998,0.389302,531,11,51,2
0.749777,0.389155,532,16,51,2
0.746807,0.411232,533,8,51,2
0.748853,0.369357,534,8,51,2
0.408964,0.07204,535,13,77,3
0.410832,0.089424,536,10,77,3
0.408614,0.052603,537,14,77,3
0.404542,0.103894,538,5,77,3
0.428428,0.086522,539,14,77,3
0.430115,0.072673,540,16,77,3
0.425278,0.052378,541,4,77,3
0.449084,0.051407,542,24,77,3
0.449984,0.068855,543,17,77,3
0.44927,0.10412,544,9,77,3
0.45074,0.092255,545,22,77,3
0.468527,0.070376,546,9,77,3
0.471332,0.101989,547,4,77,3
0.47108,0.09181,548,24,77,3
0.472525,0.052008,549,9,77,3
0.486296,0.052734,550,13,77,3
0.490379,0.0898,551,19,77,3
0.489011,0.067323,552,14,77,3
0.493519,0.232251,553,7,77,3
0.493881,0.109252,554,12,77,3
0.494563,0.176108,555,4,77,3
0.497273,0.12662,556,4,77,3
0.497019,0.152175,557,3,77,3
0.498196,0.189837,558,4,77,3
0.509824,0.050081,559,14,77,3
0.511771,0.106905,560,9,77,3
0.50963,0.09036,561,15,77,3
0.509012,0.150009,562,17,77,3
0.508226,0.167318,563,15,77,3
0.51044,0.128752,564,16,77,3
0.512612,0.071572,565,14,77,3
0.512105,0.227425,566,14,77,3
0.511185,0.211717,567,8,77,3
0.509449,0.186705,568,13,77,3
0.528357,0.166799,569,18,77,3
0.529817,0.150535,570,18,77,3
0.529289,0.22732,571,11,77,3
0.529806,0.052195,572,10,77,3
0.530278,0.130341,573,18,77,3
0.531141,0.189378,574,22,77,3
0.530447,0.209838,575,14,77,3
0.531926,0.087585,576,14,77,3
0.529588,0.111052,577,10,77,3
0.531611,0.070096,578,9,77,3
0.54984,0.129377,579,21,77,3
0.548591,0.211838,580,17,77,3
0.550212,0.224999,581,9,77,3
0.549045,0.152124,582,24,77,3
0.550636,0.05451,583,8,77,3
0.551609,0.092015,584,13,77,3
0.550253,0.107974,585,20,77,3
0.546376,0.167986,586,12,77,3
0.548685,0.193542,587,13,77,3
0.552066,0.072966,588,19,77,3
0.566609,0.050318,589,16,77,3
0.564093,0.168102,590,4,77,3
0.569159,0.106598,591,8,77,3
0.569333,0.087898,592,11,77,3
0.568962,0.068929,593,15,77,3
0.588592,0.088862,594,14,77,3
0.586008,0.104765,595,5,77,3
0.589232,0.0482,596,12,77,3
0.590317,0.067129,597,7,77,3
0.613093,0.092129,598,15,77,3
0.609705,0.07045,599,22,77,3
0.608792,0.106451,600,6,77,3
0.610085,0.053658,601,9,77,3
0.627644,0.107128,602,10,77,3
0.629106,0.069648,603,17,77,3
0.630531,0.089094,604,13,77,3
0.630586,0.051664,605,13,77,3
0.648724,0.089964,606,17,77,3
0.649162,0.051208,607,15,77,3
0.648507,0.071932,608,13,77,3
0.644972,0.107992,609,6,77,3
0.671914,0.072691,610,8,77,3
0.673387,0.082198,611,3,77,3
0.15758,0.416435,612,4,136,4
0.167312,0.41094,613,9,136,4
0.174418,0.389325,614,7,136,4
0.175555,0.375116,615,4,1,-1
0.177213,0.254537,616,5,136,4
0.177203,0.271327,617,4,136,4
0.177374,0.297667,618,2,136,4
0.178198,0.22702,619,5,136,4
0.177814,0.315784,620,2,136,4
0.178198,0.206499,621,3,136,4
0.190259,0.389113,622,19,136,4
0.188592,0.290194,623,17,136,4
0.189002,0.230565,624,13,136,4
0.187426,0.350856,625,16,136,4
0.186181,0.269908,626,12,136,4
0.191739,0.411415,627,18,136,4
0.187643,0.153474,628,11,136,4
0.188021,0.190012,629,20,136,4
0.190642,0.311153,630,18,136,4
0.190893,0.168659,631,14,136,4
0.186804,0.251793,632,10,136,4
0.18787,0.333103,633,9,136,4
0.189581,0.209143,634,12,136,4
0.193205,0.368072,635,13,136,4
0.207443,0.267727,636,16,136,4
0.209563,0.371101,637,14,136,4
0.209581,0.248373,638,20,136,4
0.207128,0.350626,639,18,136,4
0.209591,0.189989,640,19,136,4
0.210361,0.39046,641,17,136,4
0.209384,0.286749,642,11,136,4
0.208733,0.407161,643,14,136,4
0.213014,0.212047,644,9,136,4
0.210568,0.229274,645,8,136,4
0.209628,0.310832,646,19,136,4
0.210642,0.328013,647,11,136,4
0.211658,0.172033,648,14,136,4
0.213371,0.151063,649,8,136,4
0.229868,0.228241,650,19,136,4
0.228707,0.349127,651,23,136,4
0.230501,0.268749,652,15,136,4
0.228387,0.212783,653,18,136,4
0.22964,0.311598,654,20,136,4
0.227636,0.329421,655,19,136,4
0.229357,0.190609,656,15,136,4
0.230599,0.288786,657,13,136,4
0.225152,0.251174,658,6,136,4
0.231699,0.15394,659,12,136,4
0.230877,0.410799,660,18,136,4
0.230565,0.369425,661,13,136,4
0.231251,0.39077,662,4,136,4
0.230657,0.173741,663,10,136,4
0.243118,0.266003,664,3,136,4
0.242762,0.227638,665,4,136,4
0.251076,0.188235,666,8,136,4
0.249931,0.411478,667,13,136,4
0.248208,0.390998,668,14,136,4
0.248156,0.353947,669,8,136,4
0.248264,0.369482,670,5,136,4
0.269774,0.369859,671,22,136,4
0.267097,0.353646,672,6,136,4
0.269466,0.388041,673,13,136,4
0.269189,0.413174,674,10,136,4
0.290971,0.390115,675,24,136,4
0.291429,0.40979,676,15,136,4
0.287975,0.356951,677,5,136,4
0.290324,0.370637,678,19,136,4
0.30898,0.410203,679,14,136,4
0.311365,0.372704,680,11,136,4
0.310374,0.385687,681,12,136,4
0.330347,0.389449,682,17,136,4
0.327993,0.411938,683,13,136,4
0.330883,0.369628,684,20,136,4
0.332328,0.356952,685,7,136,4
0.35018,0.389148,686,21,136,4
0.3493,0.370293,687,19,136,4
0.35166,0.411295,688,14,136,4
0.35167,0.355149,689,8,136,4
0.373184,0.368165,690,22,136,4
0.369062,0.38902,691,15,136,4
0.368666,0.408769,692,12,136,4
0.369369,0.353987,693,5,136,4
0.390573,0.41061,694,29,136,4
0.389148,0.35232,695,12,136,4
0.389501,0.170116,696,14,136,4
0.393614,0.155838,697,6,136,4
0.391217,0.391343,698,14,136,4
0.390494,0.370102,699,17,136,4
0.394079,0.189435,700,9,136,4
0.394394,0.24931,701,7,136,4
0.392392,0.205685,702,9,136,4
0.39462,0.310112,703,7,136,4
0.39617,0.226715,704,5,136,4
0.397392,0.290386,705,5,136,4
0.398183,0.327197,706,3,136,4
0.410811,0.310352,707,15,136,4
0.410231,0.408209,708,10,136,4
0.40904,0.168355,709,16,136,4
0.410329,0.388838,710,20,136,4
0.410918,0.349487,711,8,136,4
0.407864,0.249077,712,12,136,4
0.409591,0.209441,713,15,136,4
0.410701,0.328562,714,13,136,4
0.408125,0.368145,715,24,136,4
0.410142,0.290163,716,13,136,4
0.411292,0.269259,717,8,136,4
0.412055,0.189919,718,18,136,4
0.413234,0.229411,719,18,136,4
0.412825,0.152792,720,6,136,4
0.432017,0.22922,721,11,136,4
0.430077,0.189287,722,17,136,4
0.425476,0.352033,723,8,136,4
0.429414,0.311098,724,18,136,4
0.431389,0.293138,725,8,136,4
0.429825,0.208641,726,17,136,4
0.430713,0.329582,727,11,136,4
0.428734,0.269337,728,16,136,4
0.430165,0.389853,729,27,136,4
0.429638,0.170452,730,16,136,4
0.427264,0.366708,731,15,136,4
0.429402,0.249923,732,17,136,4
0.432616,0.153701,733,11,136,4
0.431484,0.410287,734,10,136,4
0.443273,0.165252,735,9,136,4
0.443293,0.38959,736,11,136,4
0.444107,0.412038,737,11,136,4
0.443407,0.247734,738,6,136,4
0.443892,0.348497,739,10,136,4
0.444473,0.308907,740,11,136,4
0.443331,0.230292,741,8,136,4
0.445533,0.268407,742,4,136,4
0.443229,0.285272,743,6,136,4
0.445167,0.330895,744,7,136,4
0.445804,0.188792,745,3,136,4
0.446324,0.372891,746,6,136,4
0.446206,0.203109,747,4,136,4
0.450374,0.430475,748,7,136,4
0.532415,0.290416,749,8,53,1
0.534491,0.310285,750,10,53,1
0.534598,0.273538,751,6,53,1
0.532906,0.33027,752,5,53,1
0.550753,0.311041,753,17,53,1
0.547291,0.273198,754,9,53,1
